SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-19,22200006,Brooklyn Nets,1610612751,L,40,89,0.449,10,33,0.30303030303030304,0.75,30,56,0.5357142857142857,240,18,24,9,30,39,22,10,10,16,25,108,-22,103.52970588235294,104.31788546055267,125.56782509140598
2023,2022-10-21,22200021,Brooklyn Nets,1610612751,W,38,80,0.475,13,35,0.37142857142857144,0.69,25,45,0.5555555555555556,240,20,29,13,31,44,26,3,13,13,19,109,4,94.33080824972129,115.55079620588542,111.31040001484376
2023,2022-10-27,22200066,Brooklyn Nets,1610612751,L,43,93,0.462,12,35,0.34285714285714286,0.9,31,58,0.5344827586206896,265,27,30,13,32,45,20,10,6,15,28,125,-4,104.57176505664879,119.53513449092571,123.36025879463534
2023,2022-10-29,22200083,Brooklyn Nets,1610612751,L,41,82,0.5,14,39,0.358974358974359,0.769,27,43,0.627906976744186,240,20,26,6,28,34,29,6,9,9,20,116,-9,94.85242857142858,122.29523455231961,131.7836579227582
2023,2022-10-31,22200098,Brooklyn Nets,1610612751,W,43,80,0.538,11,30,0.36666666666666664,0.95,32,50,0.64,240,19,20,6,33,39,26,11,9,20,18,116,7,104.88350889192887,110.59889321544864,103.9248220731371
2023,2022-11-01,22200103,Brooklyn Nets,1610612751,L,36,74,0.486,12,32,0.375,0.789,24,42,0.5714285714285714,240,15,19,4,34,38,27,4,7,18,20,99,-9,94.76327327327327,104.47085308514943,113.96820336561757
2023,2022-11-09,22200164,Brooklyn Nets,1610612751,W,42,87,0.483,14,34,0.4117647058823529,0.7,28,53,0.5283018867924528,240,14,20,11,44,55,30,11,5,15,22,112,27,99.1299347826087,112.9830260108768,85.74604652611187
2023,2022-11-20,22200243,Brooklyn Nets,1610612751,W,50,83,0.602,16,34,0.47058823529411764,0.733,34,49,0.6938775510204082,240,11,15,5,40,45,33,5,5,19,25,127,12,104.89923742138365,121.06856362533587,109.6290143064065
2023,2022-11-27,22200290,Brooklyn Nets,1610612751,W,41,78,0.526,15,35,0.42857142857142855,0.778,26,43,0.6046511627906976,240,14,18,4,34,38,27,6,2,8,24,111,14,88.98349206349206,124.7422386174714,109.00898329634889
2023,2022-11-28,22200302,Brooklyn Nets,1610612751,W,44,81,0.543,9,28,0.32142857142857145,0.857,35,53,0.660377358490566,240,12,14,8,34,42,20,7,8,18,19,109,7,96.33932968536251,113.14174632103663,105.87576261234621
2023,2022-11-30,22200315,Brooklyn Nets,1610612751,W,39,84,0.464,11,26,0.4230769230769231,0.923,28,58,0.4827586206896552,240,24,26,4,31,35,22,8,7,9,25,113,6,99.3289972899729,113.76335519638549,107.72282306206415
2023,2022-12-02,22200329,Brooklyn Nets,1610612751,W,44,82,0.537,11,32,0.34375,0.682,33,50,0.66,240,15,22,7,34,41,27,7,5,18,27,114,9,100.84291452991454,113.04710948847327,104.12233768675169
2023,2022-12-04,22200346,Brooklyn Nets,1610612751,L,34,84,0.405,9,26,0.34615384615384615,0.682,25,58,0.43103448275862066,240,15,22,11,34,45,17,6,7,15,18,92,-11,96.44277310924369,95.39335818951284,106.7990857991285
2023,2022-12-07,22200364,Brooklyn Nets,1610612751,W,49,86,0.57,12,31,0.3870967741935484,0.75,37,55,0.6727272727272727,240,12,16,5,34,39,33,3,8,11,20,122,6,97.98691558441558,124.5064193238098,118.383152799688
2023,2022-12-09,22200380,Brooklyn Nets,1610612751,W,45,83,0.542,13,30,0.43333333333333335,0.81,32,53,0.6037735849056604,240,17,21,9,29,38,30,10,5,21,18,120,4,102.31277351916377,117.28740788902894,113.3778276260613
2023,2022-12-21,22200470,Brooklyn Nets,1610612751,W,54,84,0.643,21,33,0.6363636363636364,0.875,33,51,0.6470588235294118,240,14,16,3,29,32,42,10,4,15,23,143,30,102.77315789473684,139.1413895702851,109.95088826183368
2023,2022-12-23,22200483,Brooklyn Nets,1610612751,W,46,93,0.495,14,32,0.4375,0.923,32,61,0.5245901639344263,240,12,13,12,33,45,30,11,2,12,18,118,18,96.5360770750988,122.23409483296453,103.58821596013942
2023,2023-01-02,22200555,Brooklyn Nets,1610612751,W,58,93,0.624,11,20,0.55,0.8,47,73,0.6438356164383562,240,12,15,7,38,45,31,13,7,13,16,139,36,105.02716981132076,132.34670633295246,98.06986152729571
2023,2023-01-12,22200627,Brooklyn Nets,1610612751,L,38,84,0.452,13,34,0.38235294117647056,0.818,25,50,0.5,240,9,11,4,27,31,26,8,9,12,19,98,-11,93.7313076923077,104.55417982826525,116.28985307429502
