SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-22,22200035,Denver Nuggets,1610612743,W,42,85,0.494,20,38,0.5263157894736842,0.581,22,47,0.46808510638297873,240,18,31,9,37,46,33,5,6,18,21,122,5,105.37987280296022,115.77163338213188,111.02689430909368
2023,2022-10-26,22200064,Denver Nuggets,1610612743,W,42,92,0.457,9,34,0.2647058823529412,0.81,33,58,0.5689655172413793,240,17,21,9,45,54,34,12,5,11,17,110,11,102.38577315541602,107.4368016277281,96.69312146495528
2023,2022-10-28,22200078,Denver Nuggets,1610612743,W,39,85,0.459,17,37,0.4594594594594595,0.647,22,48,0.4583333333333333,240,22,34,17,41,58,18,2,4,12,18,117,16,96.06912288319583,121.78730947950118,105.13263467888565
2023,2022-11-05,22200138,Denver Nuggets,1610612743,W,53,87,0.609,15,29,0.5172413793103449,0.5,38,58,0.6551724137931034,240,5,10,10,37,47,37,10,0,18,15,126,25,97.05492732558139,129.82339328050722,104.0647835026288
2023,2022-11-16,22200219,Denver Nuggets,1610612743,L,36,82,0.439,14,38,0.3684210526315789,0.85,22,44,0.5,240,17,20,8,34,42,18,3,5,15,25,103,-3,96.24063095238097,107.02340475195295,110.14059129812634
2023,2022-11-22,22200258,Denver Nuggets,1610612743,L,43,86,0.5,5,19,0.2631578947368421,0.654,38,67,0.5671641791044776,240,17,26,15,27,42,28,7,8,18,21,108,-2,96.89653846153846,111.45908998892556,113.52314721094268
2023,2022-11-28,22200305,Denver Nuggets,1610612743,W,50,88,0.568,12,30,0.4,0.85,38,58,0.6551724137931034,240,17,20,13,30,43,31,8,4,14,22,129,16,97.01357142857142,132.97108651955912,116.47854865666807
2023,2022-11-30,22200320,Denver Nuggets,1610612743,W,44,83,0.53,17,32,0.53125,0.75,27,51,0.5294117647058824,240,15,20,8,34,42,30,6,8,12,21,120,20,95.38751228501229,125.80263089517109,104.83552574597593
2023,2022-12-06,22200362,Denver Nuggets,1610612743,L,40,78,0.513,13,32,0.40625,0.786,27,46,0.5869565217391305,240,22,28,8,28,36,30,8,4,17,28,115,-1,97.2222435897436,118.2856882888597,119.31425949137153
2023,2022-12-10,22200393,Denver Nuggets,1610612743,W,47,86,0.547,8,26,0.3076923076923077,0.813,39,60,0.65,240,13,16,6,33,39,28,5,8,9,17,115,5,95.38227050183599,120.56748009346914,115.32541574157918
2023,2022-12-14,22200422,Denver Nuggets,1610612743,W,54,83,0.651,4,16,0.25,0.829,50,67,0.746268656716418,240,29,35,7,38,45,31,8,7,19,17,141,13,108.88664021164021,129.49247008259402,117.5534480182414
2023,2022-12-18,22200450,Denver Nuggets,1610612743,W,43,94,0.457,11,33,0.3333333333333333,0.647,32,61,0.5245901639344263,240,22,34,15,40,55,33,6,3,14,17,119,4,104.08461538461538,114.33005690636318,110.48702978346022
2023,2022-12-20,22200465,Denver Nuggets,1610612743,W,40,89,0.449,10,27,0.37037037037037035,0.6,30,62,0.4838709677419355,240,15,25,13,35,48,28,9,5,17,19,105,14,99.58760416666667,105.4348087582018,91.37683425710821
2023,2022-12-23,22200489,Denver Nuggets,1610612743,W,47,81,0.58,10,21,0.47619047619047616,0.615,37,60,0.6166666666666667,240,16,26,4,34,38,31,9,2,11,19,120,13,97.65702127659574,122.87902951711156,109.5671346527578
2023,2022-12-25,22200497,Denver Nuggets,1610612743,W,45,94,0.479,13,36,0.3611111111111111,0.735,32,58,0.5517241379310345,265,25,34,12,36,48,29,8,4,13,23,128,3,106.1075543478261,120.63231575426695,117.80499585377633
2023,2022-12-30,22200535,Denver Nuggets,1610612743,W,45,76,0.592,17,28,0.6071428571428571,0.773,28,48,0.5833333333333334,240,17,22,5,31,36,34,6,1,20,19,124,5,99.91011904761905,124.1115526455326,119.10705455498692
2023,2023-01-01,22200549,Denver Nuggets,1610612743,W,45,79,0.57,17,30,0.5666666666666667,0.889,28,49,0.5714285714285714,240,16,18,1,34,35,31,5,4,17,17,123,12,100.71678977272728,122.12462319098529,110.21002580649892
2023,2023-01-05,22200579,Denver Nuggets,1610612743,W,45,89,0.506,14,36,0.3888888888888889,0.857,31,53,0.5849056603773585,240,18,21,10,47,57,28,6,5,12,16,122,31,99.28994503171248,122.872462021239,91.65077085190778
2023,2023-01-06,22200588,Denver Nuggets,1610612743,W,43,81,0.531,17,35,0.4857142857142857,0.783,26,46,0.5652173913043478,240,18,23,13,36,49,28,5,4,14,23,121,13,89.88885714285715,134.61067794832348,120.14837370594162
2023,2023-01-09,22200609,Denver Nuggets,1610612743,W,46,99,0.465,15,42,0.35714285714285715,0.882,31,57,0.543859649122807,240,15,17,14,41,55,29,7,11,17,19,122,13,105.56882978723405,115.56441446389216,103.25017357839545
2023,2023-01-11,22200624,Denver Nuggets,1610612743,W,48,85,0.565,15,34,0.4411764705882353,0.714,33,51,0.6470588235294118,240,15,21,7,31,38,30,9,4,11,20,126,29,97.25368961352657,129.5580666406668,99.73914654083077
2023,2023-01-15,22200653,Denver Nuggets,1610612743,W,48,89,0.539,13,39,0.3333333333333333,0.526,35,50,0.7,240,10,19,12,29,41,32,10,5,16,22,119,3,99.28128205128205,119.86146586879546,116.83974824185105
2023,2023-01-17,22200667,Denver Nuggets,1610612743,W,44,88,0.5,11,32,0.34375,0.821,33,56,0.5892857142857143,240,23,28,11,31,42,32,8,6,12,15,122,9,98.94064024390244,123.30625686194574,114.2098936508186
2023,2023-01-18,22200676,Denver Nuggets,1610612743,W,45,85,0.529,8,21,0.38095238095238093,0.75,37,64,0.578125,240,24,32,8,26,34,27,10,2,16,19,122,4,100.56105263157895,121.31933468016287,117.34165157589524
2023,2023-01-20,22200688,Denver Nuggets,1610612743,W,51,83,0.614,14,28,0.5,0.692,37,55,0.6727272727272727,240,18,26,12,26,38,38,16,4,18,28,134,23,100.15123809523809,133.79764698722315,110.83237922075948
2023,2023-01-22,22200702,Denver Nuggets,1610612743,L,36,82,0.439,10,28,0.35714285714285715,0.515,26,54,0.48148148148148145,240,17,33,10,32,42,22,7,5,9,16,99,-2,90.47152173913044,109.4266992495837,111.63733963846418
