SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-19,22200003,Detroit Pistons,1610612765,W,40,94,0.426,14,38,0.3684210526315789,0.792,26,56,0.4642857142857143,240,19,24,12,29,41,31,11,4,13,21,113,4,101.13050256410256,111.73681246998039,107.78152707281296
2023,2022-10-26,22200057,Detroit Pistons,1610612765,L,42,91,0.462,14,32,0.4375,0.682,28,59,0.4745762711864407,240,15,22,10,30,40,23,4,6,14,25,113,-5,101.54858695652173,111.27678226421922,116.20053369183954
2023,2022-10-28,22200070,Detroit Pistons,1610612765,L,37,86,0.43,7,32,0.21875,0.816,30,54,0.5555555555555556,240,31,38,14,28,42,18,2,4,11,22,112,-24,98.29684210526315,113.94058812190787,138.35642843374526
2023,2022-10-30,22200091,Detroit Pistons,1610612765,W,40,83,0.482,14,33,0.42424242424242425,0.895,26,50,0.52,240,34,38,12,35,47,24,4,3,16,25,128,14,101.18735010162601,126.49802556490026,112.66230401873929
2023,2022-11-04,22200120,Detroit Pistons,1610612765,L,31,83,0.373,13,37,0.35135135135135137,0.867,18,46,0.391304347826087,240,13,15,9,25,34,16,10,6,19,22,88,-24,96.10124223602486,91.57009623650005,116.54375884645461
2023,2022-11-07,22200146,Detroit Pistons,1610612765,W,39,93,0.419,9,33,0.2727272727272727,0.758,30,60,0.5,240,25,33,16,42,58,20,6,9,16,19,112,9,101.44854572713643,110.40079401556287,101.52930163931228
2023,2022-11-12,22200186,Detroit Pistons,1610612765,L,37,89,0.416,16,38,0.42105263157894735,0.857,21,51,0.4117647058823529,240,18,21,11,39,50,23,4,3,14,23,108,-9,97.32875,110.964129304034,120.21114007937017
2023,2022-11-14,22200199,Detroit Pistons,1610612765,L,35,77,0.455,10,31,0.3225806451612903,0.721,25,46,0.5434782608695652,240,31,43,11,28,39,23,8,2,19,23,111,-4,98.93046341463415,112.20002026552771,116.24326423906024
2023,2022-11-27,22200295,Detroit Pistons,1610612765,L,36,79,0.456,8,28,0.2857142857142857,0.538,28,51,0.5490196078431373,240,14,26,7,29,36,14,9,6,16,26,94,-8,94.52633940620784,99.44318228177016,107.90643183766548
2023,2022-11-29,22200309,Detroit Pistons,1610612765,L,42,83,0.506,13,39,0.3333333333333333,0.65,29,44,0.6590909090909091,240,13,20,7,23,30,28,7,4,16,17,110,-30,99.40525,110.65813928338795,140.83763181522104
2023,2022-12-01,22200325,Detroit Pistons,1610612765,W,51,94,0.543,15,35,0.42857142857142855,0.583,36,59,0.6101694915254238,265,14,24,13,39,52,29,9,0,13,26,131,6,103.94096899224806,126.03307557174112,120.2605682936461
2023,2022-12-04,22200347,Detroit Pistons,1610612765,L,37,84,0.44,13,35,0.37142857142857144,0.833,24,49,0.4897959183673469,240,25,30,8,31,39,26,7,7,15,24,112,-10,102.19466223698782,109.59476507713657,119.38001195902375
