SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-23,22200043,LA Clippers,1610612746,L,36,82,0.439,9,32,0.28125,0.7,27,50,0.54,240,14,20,9,34,43,16,10,0,15,18,95,-17,95.57906382978723,99.39415201762337,117.18047395761914
2023,2022-10-30,22200088,LA Clippers,1610612746,L,36,86,0.419,11,39,0.28205128205128205,0.615,25,47,0.5319148936170213,240,8,13,8,31,39,24,3,6,15,15,91,-21,96.03061678463095,94.76144488802652,116.62947063141725
2023,2022-10-31,22200102,LA Clippers,1610612746,W,37,87,0.425,9,36,0.25,0.706,28,51,0.5490196078431373,240,12,17,8,38,46,23,7,10,14,18,95,2,100.75044444444444,94.29238801262527,92.3072851070963
2023,2022-11-06,22200143,LA Clippers,1610612746,L,43,87,0.494,8,33,0.24242424242424243,0.615,35,54,0.6481481481481481,240,8,13,4,28,32,22,11,2,14,26,102,-8,99.60564102564103,102.40383872811239,110.4355123538467
2023,2022-11-07,22200158,LA Clippers,1610612746,W,40,79,0.506,17,38,0.4473684210526316,0.786,23,41,0.5609756097560976,240,22,28,4,27,31,19,8,2,9,19,119,2,96.02907335907337,123.9208042287708,121.83810163669062
2023,2022-11-09,22200170,LA Clippers,1610612746,W,41,81,0.506,12,33,0.36363636363636365,0.769,29,48,0.6041666666666666,240,20,26,6,35,41,24,10,7,15,24,114,13,100.69061826432218,113.2180951563327,100.30725974376844
2023,2022-11-12,22200184,LA Clippers,1610612746,L,34,85,0.4,11,31,0.3548387096774194,0.8,23,54,0.42592592592592593,240,16,20,10,36,46,22,4,6,18,17,95,-15,98.3502380952381,96.59356381832663,111.84517915806241
2023,2022-11-17,22200223,LA Clippers,1610612746,W,33,81,0.407,11,30,0.36666666666666664,0.792,22,51,0.43137254901960786,240,19,24,10,41,51,17,1,1,18,21,96,5,97.85829913360692,98.10103062278881,92.99160194451855
2023,2022-11-19,22200239,LA Clippers,1610612746,W,44,81,0.543,21,40,0.525,0.526,23,41,0.5609756097560976,240,10,19,7,28,35,32,9,1,13,20,119,22,92.52297674418604,128.6167006159124,104.83882319112186
2023,2022-11-21,22200255,LA Clippers,1610612746,W,47,91,0.516,9,24,0.375,0.947,38,67,0.5671641791044776,240,18,19,12,29,41,26,6,6,16,20,121,7,98.88935501355013,122.35897380807086,115.28035548859567
2023,2022-11-25,22200285,LA Clippers,1610612746,L,37,68,0.544,11,22,0.5,0.559,26,46,0.5652173913043478,240,19,34,4,29,33,22,1,5,14,20,104,-10,91.58692307692309,113.55332890990483,124.4719182281649
2023,2022-11-27,22200292,LA Clippers,1610612746,W,42,94,0.447,6,32,0.1875,0.75,36,62,0.5806451612903226,240,24,32,18,44,62,33,7,4,18,18,114,14,104.79825471698113,108.78043752529005,95.42143642569303
2023,2022-12-03,22200338,LA Clippers,1610612746,L,33,93,0.355,9,33,0.2727272727272727,0.808,24,60,0.4,240,21,26,17,33,50,15,4,3,18,23,96,-27,101.28940133037693,94.77793208282037,121.4342254811136
2023,2022-12-12,22200408,LA Clippers,1610612746,W,44,90,0.489,10,25,0.4,0.714,34,65,0.5230769230769231,240,15,21,11,35,46,18,10,2,10,26,113,20,95.57889880952382,118.2269323119051,97.30181154873605
2023,2022-12-14,22200423,LA Clippers,1610612746,W,34,89,0.382,14,46,0.30434782608695654,0.81,20,43,0.46511627906976744,240,17,21,14,38,52,21,8,2,15,21,99,11,95.88244444444445,103.25143520653764,91.77905351692233
2023,2022-12-15,22200427,LA Clippers,1610612746,L,34,90,0.378,12,33,0.36363636363636365,0.714,22,57,0.38596491228070173,240,15,21,21,31,52,21,4,3,18,18,95,-16,94.23898857774503,100.8075335206162,117.78564442935155
