SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-19,22200010,Minnesota Timberwolves,1610612750,W,39,94,0.415,10,38,0.2631578947368421,0.818,29,56,0.5178571428571429,240,27,33,14,41,55,25,6,5,14,21,115,7,104.84929824561404,109.68123003609189,103.0049812512863
2023,2022-10-21,22200025,Minnesota Timberwolves,1610612750,L,49,107,0.458,11,33,0.3333333333333333,0.739,38,74,0.5135135135135135,265,17,23,21,39,60,20,5,7,20,22,126,-6,111.79771551724139,112.70355518183048,118.07039114287004
2023,2022-10-24,22200050,Minnesota Timberwolves,1610612750,L,38,86,0.442,8,31,0.25806451612903225,0.917,30,55,0.5454545454545454,240,22,24,10,40,50,24,7,5,16,18,106,-9,103.9112801932367,102.01009919508166,110.6713340323999
2023,2022-10-26,22200062,Minnesota Timberwolves,1610612750,W,52,80,0.65,20,34,0.5882352941176471,0.625,32,46,0.6956521739130435,240,10,16,0,30,30,37,9,6,17,19,134,12,102.74818181818182,130.41593304017766,118.73689426046026
2023,2022-10-28,22200076,Minnesota Timberwolves,1610612750,W,41,99,0.414,13,40,0.325,0.667,28,59,0.4745762711864407,240,16,24,14,35,49,27,13,8,10,21,111,9,105.4756177678238,105.23759172886442,96.70481402111865
2023,2022-11-04,22200129,Minnesota Timberwolves,1610612750,L,39,92,0.424,11,41,0.2682926829268293,0.765,28,51,0.5490196078431373,240,13,17,10,37,47,22,2,4,16,25,102,-13,103.00407407407408,99.0252093588531,111.64606937517753
2023,2022-11-05,22200137,Minnesota Timberwolves,1610612750,W,49,80,0.613,15,33,0.45454545454545453,0.8,34,47,0.723404255319149,240,16,20,9,27,36,38,11,5,24,27,129,12,103.48142307692308,124.66005604127386,113.06377175836467
2023,2022-11-07,22200153,Minnesota Timberwolves,1610612750,L,38,81,0.469,11,41,0.2682926829268293,0.833,27,40,0.675,240,20,24,4,35,39,28,7,8,18,18,107,-13,105.40683014354067,101.51144840831452,113.84461503736208
2023,2022-11-09,22200167,Minnesota Timberwolves,1610612750,L,41,78,0.526,9,27,0.3333333333333333,0.813,32,51,0.6274509803921569,240,26,32,8,30,38,26,4,6,19,22,117,-12,101.55485294117648,115.20867453549444,127.0249488468272
2023,2022-11-21,22200252,Minnesota Timberwolves,1610612750,W,37,85,0.435,14,47,0.2978723404255319,0.85,23,38,0.6052631578947368,240,17,20,6,34,40,30,9,6,18,25,105,4,102.47191304347825,102.46710233217671,98.56359367190332
