SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-21,22200027,Portland Trail Blazers,1610612757,W,36,82,0.439,10,29,0.3448275862068966,0.861,26,53,0.49056603773584906,265,31,36,13,35,48,14,8,5,21,19,113,2,105.70942171717172,106.89681029788849,105.00483135456304
2023,2022-10-24,22200051,Portland Trail Blazers,1610612757,W,48,83,0.578,16,35,0.45714285714285713,0.742,32,48,0.6666666666666666,240,23,31,9,36,45,23,3,6,10,15,135,25,95.09527027027028,141.96289638413825,115.67347112781634
2023,2022-10-26,22200065,Portland Trail Blazers,1610612757,L,34,78,0.436,12,37,0.32432432432432434,0.692,22,41,0.5365853658536586,240,18,26,11,27,38,20,9,4,19,17,98,-21,95.61869047619048,102.49042264849095,124.4526560731676
2023,2022-10-28,22200080,Portland Trail Blazers,1610612757,W,48,90,0.533,13,35,0.37142857142857144,0.8,35,55,0.6363636363636364,240,16,20,11,34,45,30,9,6,16,19,125,14,102.02887866589995,122.51433283837261,108.79272756047487
2023,2022-11-02,22200116,Portland Trail Blazers,1610612757,L,36,89,0.404,13,33,0.3939393939393939,0.808,23,56,0.4107142857142857,240,21,26,16,30,46,27,5,3,20,17,106,-5,99.35663461538462,106.6863832599929,111.71875982886048
2023,2022-11-15,22200209,Portland Trail Blazers,1610612757,W,41,79,0.519,15,32,0.46875,0.769,26,47,0.5531914893617021,240,20,26,9,30,39,22,6,3,17,17,117,7,97.6325,119.83714439351651,112.66740071185313
2023,2022-11-17,22200221,Portland Trail Blazers,1610612757,L,36,93,0.387,13,36,0.3611111111111111,0.815,23,57,0.40350877192982454,240,22,27,8,31,39,22,9,5,10,22,107,-2,101.72288333333333,105.18773799340136,107.15386393720325
2023,2022-11-19,22200238,Portland Trail Blazers,1610612757,L,39,83,0.47,13,42,0.30952380952380953,0.815,26,41,0.6341463414634146,240,22,27,10,33,43,27,11,8,18,22,113,-5,100.20478658536585,112.7690640843127,117.7588456809637
2023,2022-11-29,22200311,Portland Trail Blazers,1610612757,L,42,90,0.467,17,35,0.4857142857142857,0.733,25,55,0.45454545454545453,240,11,15,9,34,43,24,6,7,11,23,112,-6,97.23511627906976,115.18472367385695,121.35533387067072
2023,2022-12-04,22200351,Portland Trail Blazers,1610612757,W,42,86,0.488,17,40,0.425,0.682,25,46,0.5434782608695652,240,15,22,11,34,45,32,10,3,15,17,116,16,97.1603134479272,119.39031059442793,102.92268154692061
2023,2022-12-08,22200376,Portland Trail Blazers,1610612757,L,44,91,0.484,16,40,0.4,1,28,51,0.5490196078431373,240,16,16,13,25,38,30,10,3,13,20,120,-1,96.64954742547425,124.15991920969016,125.19458520310423
2023,2022-12-10,22200394,Portland Trail Blazers,1610612757,W,43,83,0.518,13,34,0.38235294117647056,0.893,30,49,0.6122448979591837,240,25,28,11,34,45,20,5,4,16,24,124,6,99.03428571428572,125.20916277191161,119.15065489585137
2023,2022-12-12,22200407,Portland Trail Blazers,1610612757,W,48,89,0.539,21,46,0.45652173913043476,0.762,27,43,0.627906976744186,240,16,21,11,43,54,32,4,4,19,21,133,21,104.0947,127.7682725441353,107.59433477400866
2023,2022-12-26,22200504,Portland Trail Blazers,1610612757,W,43,86,0.5,14,38,0.3684210526315789,0.857,29,48,0.6041666666666666,240,24,28,10,40,50,28,8,9,15,20,124,11,102.58829450139794,120.87148987383769,110.14901899793274
2023,2023-01-02,22200559,Portland Trail Blazers,1610612757,W,48,84,0.571,14,31,0.45161290322580644,0.714,34,53,0.6415094339622641,240,25,35,6,38,44,29,16,6,18,27,135,29,110.0311246200608,122.6925567344305,96.33637788036764
2023,2023-01-10,22200616,Portland Trail Blazers,1610612757,L,42,87,0.483,6,35,0.17142857142857143,0.842,36,52,0.6923076923076923,240,16,19,13,30,43,22,10,7,17,22,106,-3,96.95988095238096,109.32356657085711,112.41762977569269
2023,2023-01-12,22200631,Portland Trail Blazers,1610612757,L,40,78,0.513,11,33,0.3333333333333333,0.759,29,45,0.6444444444444445,240,22,29,5,31,36,17,6,4,17,27,113,-6,100.03409805153991,112.96148233553298,118.95943714980908
2023,2023-01-14,22200647,Portland Trail Blazers,1610612757,W,49,88,0.557,17,41,0.4146341463414634,0.955,32,47,0.6808510638297872,240,21,22,10,37,47,34,7,4,12,20,136,17,97.30727272727273,139.76344849492705,122.29301743306115
2023,2023-01-15,22200654,Portland Trail Blazers,1610612757,W,43,85,0.506,17,44,0.38636363636363635,0.881,26,41,0.6341463414634146,240,37,42,8,33,41,28,3,6,8,29,140,17,97.95554987212276,142.92196836500298,125.56715792068118
2023,2023-01-19,22200682,Portland Trail Blazers,1610612757,L,32,85,0.376,9,37,0.24324324324324326,0.759,23,48,0.4791666666666667,240,22,29,13,31,44,19,4,3,16,15,95,-10,97.90003267973856,97.0377612750902,107.25226246194181
2023,2023-01-22,22200705,Portland Trail Blazers,1610612757,L,37,86,0.43,17,46,0.3695652173913043,0.84,20,40,0.5,240,21,25,11,27,38,24,5,7,12,24,112,-9,97.42614085239086,114.95887963959264,124.19664675348847
2023,2023-01-23,22200711,Portland Trail Blazers,1610612757,W,55,92,0.598,20,33,0.6060606060606061,0.773,35,59,0.5932203389830508,240,17,22,8,28,36,34,11,4,10,16,147,20,100.77401960784314,145.8709303965872,126.02454530861615
2023,2023-01-25,22200727,Portland Trail Blazers,1610612757,W,51,89,0.573,17,36,0.4722222222222222,0.833,34,53,0.6415094339622641,240,15,18,6,35,41,26,9,4,10,15,134,10,99.62363636363636,134.5062325479532,124.4684539995985
2023,2023-01-28,22200751,Portland Trail Blazers,1610612757,L,40,76,0.526,7,24,0.2916666666666667,0.783,33,52,0.6346153846153846,240,18,23,3,24,27,18,3,6,12,16,105,-18,91.39524475524476,114.88562701614136,134.58030593319415
2023,2023-01-30,22200763,Portland Trail Blazers,1610612757,W,43,79,0.544,19,40,0.475,0.889,24,39,0.6153846153846154,240,24,27,3,29,32,24,2,7,8,21,129,4,93.65025946704067,137.74654841762649,133.47533761397915
2023,2023-02-06,22200815,Portland Trail Blazers,1610612757,L,37,91,0.407,9,36,0.25,0.862,28,55,0.509090909090909,240,25,29,1,27,28,23,5,2,9,20,108,-19,106.50452581032414,101.40414144685192,119.2437589236129
