SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-19,22200008,Toronto Raptors,1610612761,W,36,86,0.419,13,30,0.43333333333333335,0.719,23,56,0.4107142857142857,240,23,32,12,29,41,19,15,4,13,23,108,3,96.6276883116883,111.76920599779687,108.6645058311914
2023,2022-10-26,22200059,Toronto Raptors,1610612761,W,46,84,0.548,16,37,0.43243243243243246,0.786,30,47,0.6382978723404256,240,11,14,6,33,39,32,9,5,9,21,119,10,93.45599099099098,127.33266079375416,116.63243719764036
2023,2022-10-28,22200073,Toronto Raptors,1610612761,L,33,86,0.384,9,39,0.23076923076923078,0.625,24,47,0.5106382978723404,240,15,24,15,30,45,20,9,5,17,15,90,-22,94.37246552675123,95.36679951896373,118.67868384582152
2023,2022-10-31,22200099,Toronto Raptors,1610612761,W,46,92,0.5,14,34,0.4117647058823529,0.825,32,58,0.5517241379310345,240,33,40,12,32,44,25,13,9,7,22,139,30,102.14741758241757,136.07784052675433,106.70852242745484
2023,2022-11-06,22200141,Toronto Raptors,1610612761,W,44,103,0.427,10,37,0.2702702702702703,0.75,34,66,0.5151515151515151,240,15,20,23,29,52,28,11,10,9,16,113,9,92.9011026936027,121.63472415681169,111.9470027637913
2023,2022-11-09,22200165,Toronto Raptors,1610612761,W,42,102,0.412,15,44,0.3409090909090909,0.85,27,58,0.46551724137931033,240,17,20,22,28,50,19,12,9,13,26,116,7,95.71636363636364,121.19139882987615,113.87812476255603
2023,2022-11-16,22200215,Toronto Raptors,1610612761,W,44,86,0.512,7,26,0.2692307692307692,0.773,37,60,0.6166666666666667,240,17,22,16,26,42,23,5,3,14,23,112,8,90.888,123.22858903265556,114.42654695889445
2023,2022-11-23,22200266,Toronto Raptors,1610612761,L,36,101,0.356,7,29,0.2413793103448276,0.76,29,72,0.4027777777777778,240,19,25,23,29,52,16,12,2,14,13,98,-14,97.0086994949495,101.02186763683201,115.4535630135223
2023,2022-11-26,22200286,Toronto Raptors,1610612761,W,38,88,0.432,8,26,0.3076923076923077,0.808,30,62,0.4838709677419355,240,21,26,17,31,48,20,10,2,13,21,105,5,93.00103951367781,112.90196383725097,107.52567984500092
2023,2022-11-28,22200303,Toronto Raptors,1610612761,W,37,84,0.44,12,28,0.42857142857142855,0.824,25,56,0.44642857142857145,240,14,17,7,38,45,23,4,5,12,17,100,12,92.67008847441414,107.90968439358902,94.96052226635832
2023,2022-12-03,22200340,Toronto Raptors,1610612761,W,47,84,0.56,9,29,0.3103448275862069,0.72,38,55,0.6909090909090909,240,18,25,12,31,43,31,12,4,17,24,121,13,98.12944444444445,123.30651690227761,110.05870930120645
2023,2022-12-05,22200355,Toronto Raptors,1610612761,L,39,85,0.459,10,28,0.35714285714285715,0.733,29,57,0.5087719298245614,240,22,30,12,34,46,19,6,5,13,20,110,-6,96.74047872340425,113.70628040254662,119.90844115177643
2023,2022-12-07,22200366,Toronto Raptors,1610612761,W,47,106,0.443,12,43,0.27906976744186046,0.833,35,63,0.5555555555555556,240,20,24,17,37,54,25,10,5,11,22,126,13,105.48388799678844,119.44952200077816,107.12536496895184
