SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-21,22200019,Washington Wizards,1610612764,W,41,80,0.513,10,26,0.38461538461538464,0.909,31,54,0.5740740740740741,240,10,11,5,34,39,26,8,8,17,22,102,2,94.54545454545455,107.88461538461537,105.76923076923077
2023,2022-10-25,22200052,Washington Wizards,1610612764,W,44,85,0.518,10,33,0.30303030303030304,0.846,34,52,0.6538461538461539,240,22,26,9,38,47,26,7,7,12,21,120,21,97.89277080062794,122.58310702472247,101.13106329539603
2023,2022-10-28,22200074,Washington Wizards,1610612764,L,41,86,0.477,12,30,0.4,0.821,29,56,0.5178571428571429,240,23,28,9,29,38,25,5,3,13,23,117,-10,101.2379411764706,115.56931980279421,125.44703944405869
2023,2022-10-31,22200097,Washington Wizards,1610612764,L,38,81,0.469,10,25,0.4,0.962,28,56,0.5,240,25,26,9,32,41,22,8,4,16,18,111,-7,99.0709126984127,112.0409583162934,119.10660433623983
2023,2022-11-04,22200123,Washington Wizards,1610612764,L,30,83,0.361,8,34,0.23529411764705882,0.818,22,49,0.4489795918367347,240,18,22,7,32,39,18,4,3,13,15,86,-42,96.72387019230769,88.91290208819565,132.3354821777796
2023,2022-11-10,22200172,Washington Wizards,1610612764,W,41,84,0.488,12,30,0.4,0.95,29,54,0.5370370370370371,240,19,20,8,44,52,25,5,5,17,21,113,8,100.21995798319327,112.75199299020852,104.76955100860084
2023,2022-11-12,22200185,Washington Wizards,1610612764,W,44,88,0.5,16,36,0.4444444444444444,0.85,28,52,0.5384615384615384,240,17,20,6,40,46,27,6,8,9,14,121,9,100.27107939802804,120.6728806814656,111.6972118704475
2023,2022-11-13,22200194,Washington Wizards,1610612764,W,36,86,0.419,19,40,0.475,0.524,17,46,0.3695652173913043,240,11,21,9,38,47,26,9,6,15,15,102,10,99.61207357859533,102.39722589402835,92.35828217892754
2023,2022-11-16,22200213,Washington Wizards,1610612764,L,44,86,0.512,17,34,0.5,0.882,27,52,0.5192307692307693,240,15,17,11,30,41,32,8,5,19,20,120,-1,98.19423076923077,122.20677229196451,123.22516206106422
2023,2022-11-18,22200224,Washington Wizards,1610612764,W,41,96,0.427,15,46,0.32608695652173914,0.714,26,50,0.52,265,10,14,8,46,54,33,6,4,16,25,107,1,108.5655637254902,98.5579555139153,97.63685312593479
2023,2022-11-20,22200241,Washington Wizards,1610612764,W,40,93,0.43,13,34,0.38235294117647056,0.722,27,59,0.4576271186440678,240,13,18,14,35,49,19,6,13,17,19,106,4,101.9701,103.95204084334526,100.02932232095488
2023,2022-11-28,22200300,Washington Wizards,1610612764,W,52,91,0.571,15,31,0.4838709677419355,0.852,37,60,0.6166666666666667,240,23,27,7,27,34,31,12,5,7,25,142,15,101.82756756756757,139.45143087678693,124.72064592501366
2023,2022-12-04,22200349,Washington Wizards,1610612764,L,49,105,0.467,10,39,0.2564102564102564,0.733,39,66,0.5909090909090909,240,11,15,11,33,44,24,10,8,10,23,119,-11,109.13760107816711,109.03666456326926,119.11568397668071
2023,2022-12-10,22200389,Washington Wizards,1610612764,L,37,85,0.435,16,34,0.47058823529411764,0.895,21,51,0.4117647058823529,240,17,19,8,42,50,24,8,3,15,15,107,-7,98.89103299856527,108.19990119989178,115.2783994092305
2023,2022-12-12,22200403,Washington Wizards,1610612764,L,37,79,0.468,11,31,0.3548387096774194,0.682,26,48,0.5416666666666666,240,15,22,6,38,44,21,6,2,20,16,100,-12,101.3845,98.63440664006825,110.47053543687643
2023,2022-12-27,22200506,Washington Wizards,1610612764,W,39,85,0.459,11,33,0.3333333333333333,0.871,28,52,0.5384615384615384,240,27,31,14,25,39,18,7,8,18,23,116,5,99.0088704318937,117.16121948870651,112.11116692453811
2023,2022-12-28,22200516,Washington Wizards,1610612764,W,47,82,0.573,8,26,0.3076923076923077,0.893,39,56,0.6964285714285714,240,25,28,12,34,46,27,7,6,13,15,127,25,91.77427956989249,138.38299858652738,111.14225083327396
2023,2023-01-09,22200605,Washington Wizards,1610612764,L,42,82,0.512,14,34,0.4117647058823529,0.778,28,48,0.5833333333333334,240,14,18,7,30,37,26,5,1,20,25,112,-20,101.73326007326008,110.09182239844337,129.75107639816542
2023,2023-01-11,22200619,Washington Wizards,1610612764,W,38,82,0.463,7,23,0.30434782608695654,0.81,31,59,0.5254237288135594,240,17,21,12,40,52,21,5,3,18,18,100,3,95.23986434108528,104.99804960018328,101.8481081121778
2023,2023-01-13,22200634,Washington Wizards,1610612764,L,36,93,0.387,13,42,0.30952380952380953,0.885,23,51,0.45098039215686275,240,23,26,12,38,50,18,3,4,8,23,108,-4,97.01673076923078,111.32100529845168,115.44400549469064
2023,2023-01-16,22200660,Washington Wizards,1610612764,L,42,86,0.488,14,35,0.4,0.87,28,51,0.5490196078431373,240,20,23,6,30,36,31,7,2,14,21,118,-9,101.08976923076924,116.72793488194422,125.63091296616031
2023,2023-01-21,22200693,Washington Wizards,1610612764,W,51,95,0.537,18,34,0.5294117647058824,0.72,33,61,0.5409836065573771,240,18,25,9,37,46,34,6,5,8,18,138,20,101.6083351007423,135.81562955753208,116.13220498397672
2023,2023-02-03,22200787,Washington Wizards,1610612764,L,42,84,0.5,12,33,0.36363636363636365,0.909,30,51,0.5882352941176471,240,20,22,9,32,41,27,4,3,11,19,116,-8,92.22377906976743,125.78100916060468,134.45556151650845
2023,2023-02-06,22200809,Washington Wizards,1610612764,L,35,82,0.427,6,28,0.21428571428571427,0.789,29,54,0.5370370370370371,240,15,19,7,30,37,20,8,5,14,18,91,-23,95.76527655562539,95.0240037652296,119.04105966193596
2023,2023-02-08,22200823,Washington Wizards,1610612764,W,44,87,0.506,15,37,0.40540540540540543,0.882,29,50,0.58,240,15,17,11,41,52,29,4,12,17,17,118,14,96.57027818093856,122.19080468931622,107.69359057363464
2023,2023-02-11,22200849,Washington Wizards,1610612764,W,48,75,0.64,12,26,0.46153846153846156,0.864,36,49,0.7346938775510204,240,19,22,8,32,40,32,5,7,18,16,127,14,91.33316326530613,139.05135381229297,123.72285811644963
2023,2023-02-24,22200895,Washington Wizards,1610612764,L,39,79,0.494,19,44,0.4318181818181818,1,20,35,0.5714285714285714,240,12,12,3,31,34,25,6,6,19,20,109,-6,97.69455540355676,111.57223608802221,117.71382706534452
