SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-18,22200002,Golden State Warriors,1610612744,W,45,99,0.455,16,45,0.35555555555555557,0.739,29,54,0.5370370370370371,240,17,23,11,37,48,31,11,4,18,23,123,14,114.09180869565216,107.80791487679107,95.53709529731891
2023,2022-10-21,22200026,Golden State Warriors,1610612744,L,42,88,0.477,15,44,0.3409090909090909,0.889,27,44,0.6136363636363636,240,24,27,7,28,35,34,10,3,19,23,123,-5,105.69472222222223,116.37288732486905,121.10349250067674
2023,2022-10-23,22200042,Golden State Warriors,1610612744,W,45,87,0.517,14,33,0.42424242424242425,0.722,31,54,0.5740740740740741,240,26,36,6,31,37,24,7,5,13,21,130,5,108.75829545454546,119.53111204683447,114.93376158349466
2023,2022-10-27,22200068,Golden State Warriors,1610612744,W,46,92,0.5,18,46,0.391304347826087,0.867,28,46,0.6086956521739131,240,13,15,16,34,50,30,4,2,21,13,123,13,98.81025641025641,124.48100477475607,111.3244758148225
2023,2022-11-07,22200156,Golden State Warriors,1610612744,W,44,88,0.5,14,38,0.3684210526315789,0.667,30,50,0.6,240,14,21,8,40,48,28,5,4,15,21,116,3,102.70986394557823,112.93949338835039,110.01864442141027
2023,2022-11-11,22200182,Golden State Warriors,1610612744,W,40,82,0.488,15,36,0.4166666666666667,0.786,25,46,0.5434782608695652,240,11,14,8,36,44,29,5,3,15,27,106,5,96.267,110.1104220553253,104.91653422252693
2023,2022-11-14,22200205,Golden State Warriors,1610612744,W,47,88,0.534,23,45,0.5111111111111111,0.938,24,43,0.5581395348837209,240,15,16,5,35,40,35,9,3,13,17,132,37,100.73803362573099,131.0329328944574,94.30400473464735
2023,2022-11-18,22200233,Golden State Warriors,1610612744,W,41,91,0.451,18,50,0.36,0.55,23,41,0.5609756097560976,240,11,20,12,39,51,32,8,3,18,26,111,10,101.88079545454545,108.95085722953854,99.13546468633687
2023,2022-11-23,22200271,Golden State Warriors,1610612744,W,48,97,0.495,19,51,0.37254901960784315,0.692,29,46,0.6304347826086957,240,9,13,12,33,45,36,11,5,13,26,124,17,101.66165891472869,121.97322109804263,105.25108594750454
2023,2022-11-25,22200284,Golden State Warriors,1610612744,W,52,101,0.515,20,45,0.4444444444444444,0.833,32,56,0.5714285714285714,240,5,6,16,33,49,33,8,3,21,15,129,11,102.31901889534883,126.07626753335104,115.32557805376298
2023,2022-12-02,22200336,Golden State Warriors,1610612744,W,42,87,0.483,20,50,0.4,0.652,22,37,0.5945945945945946,240,15,23,7,43,50,32,2,5,20,19,119,8,108.37948979591837,109.79937276331559,102.41790232544562
2023,2022-12-03,22200342,Golden State Warriors,1610612744,W,45,85,0.529,25,52,0.4807692307692308,0.5,20,33,0.6060606060606061,240,5,10,6,29,35,34,8,5,14,24,120,19,96.14624135763671,124.80987119780802,105.04830825815507
2023,2022-12-05,22200359,Golden State Warriors,1610612744,L,38,94,0.404,13,44,0.29545454545454547,0.789,25,50,0.5,240,15,19,12,35,47,26,6,6,12,19,104,-8,102.79532051282051,101.17192055160646,108.95437597865312
2023,2022-12-10,22200392,Golden State Warriors,1610612744,W,47,92,0.511,13,39,0.3333333333333333,0.8,34,53,0.6415094339622641,240,16,20,11,42,53,26,3,6,15,20,123,16,101.90437500000002,120.70139284991441,105.00039865805564
2023,2022-12-25,22200496,Golden State Warriors,1610612744,W,43,91,0.473,18,44,0.4090909090909091,0.731,25,47,0.5319148936170213,240,19,26,9,42,51,31,6,5,12,18,123,14,105.7546256684492,116.30696929098563,103.06877766436938
2023,2022-12-27,22200513,Golden State Warriors,1610612744,W,41,95,0.432,8,37,0.21621621621621623,0.833,33,58,0.5689655172413793,240,20,24,9,40,49,31,3,2,14,22,110,5,106.46154580981329,103.32369229027346,98.62716082253375
2023,2022-12-28,22200521,Golden State Warriors,1610612744,W,37,87,0.425,16,45,0.35555555555555557,0.815,21,42,0.5,240,22,27,10,41,51,22,6,3,13,26,112,5,101.08529411764707,110.79752102185108,105.85120311908986
2023,2022-12-30,22200536,Golden State Warriors,1610612744,W,42,91,0.462,17,43,0.3953488372093023,0.81,25,48,0.5208333333333334,240,17,21,17,29,46,29,9,2,13,22,118,6,95.51684782608696,123.53841514415281,117.2568008147891
2023,2023-01-02,22200558,Golden State Warriors,1610612744,W,54,121,0.446,19,59,0.3220338983050847,0.667,35,62,0.5645161290322581,290,16,24,23,46,69,34,9,6,19,23,143,2,123.7585606060606,115.54756236636217,113.9315125430564
2023,2023-01-04,22200573,Golden State Warriors,1610612744,L,45,87,0.517,15,40,0.375,0.933,30,47,0.6382978723404256,240,14,15,9,31,40,31,3,4,14,20,119,-3,97.32902014652015,122.26569200106621,125.34802037084098
2023,2023-01-07,22200594,Golden State Warriors,1610612744,L,33,88,0.375,18,58,0.3103448275862069,0.81,15,30,0.5,240,17,21,11,38,49,26,7,1,16,17,101,-14,99.67821527777778,101.32605175417592,115.37124704683397
2023,2023-01-10,22200615,Golden State Warriors,1610612744,L,37,96,0.385,18,48,0.375,0.778,19,48,0.3958333333333333,240,21,27,16,29,45,24,13,2,17,26,113,-12,104.37063657407407,108.2679992277344,119.76548587138763
2023,2023-01-22,22200704,Golden State Warriors,1610612744,L,41,90,0.456,13,32,0.40625,0.778,28,58,0.4827586206896552,240,21,27,10,32,42,28,10,2,12,24,116,-4,99.77568349404424,116.26079214674006,120.26978497938626
2023,2023-01-25,22200726,Golden State Warriors,1610612744,W,43,85,0.506,14,32,0.4375,0.786,29,53,0.5471698113207547,240,22,28,14,30,44,33,7,5,22,27,122,2,102.83116322701689,118.64107744328898,116.69614174749736
2023,2023-01-27,22200740,Golden State Warriors,1610612744,W,50,90,0.556,18,43,0.4186046511627907,0.733,32,47,0.6808510638297872,240,11,15,5,38,43,40,5,1,14,18,129,12,103.88599272349273,124.17458467509836,112.62346051927526
2023,2023-02-04,22200800,Golden State Warriors,1610612744,W,45,82,0.549,14,35,0.4,0.789,31,47,0.6595744680851063,240,15,19,5,33,38,33,6,5,14,24,119,6,98.0657147742818,121.34720098038618,115.22885471246755
2023,2023-02-06,22200814,Golden State Warriors,1610612744,W,56,97,0.577,26,50,0.52,0.429,30,47,0.6382978723404256,240,3,7,11,34,45,43,6,3,16,17,141,27,102.77482621951219,137.19312908284013,110.92210436484949
2023,2023-02-11,22200853,Golden State Warriors,1610612744,L,40,96,0.417,12,44,0.2727272727272727,0.917,28,52,0.5384615384615384,240,11,12,7,36,43,31,11,6,16,21,103,-6,106.12108695652174,97.05893800560065,102.71285672437351
2023,2023-02-13,22200866,Golden State Warriors,1610612744,W,52,89,0.584,20,40,0.5,0.733,32,49,0.6530612244897959,240,11,15,11,23,34,40,10,0,16,19,135,9,97.16371428571429,138.94075683750253,129.67803971500237
2023,2023-02-24,22200901,Golden State Warriors,1610612744,W,37,78,0.474,26,54,0.48148148148148145,0.889,11,24,0.4583333333333333,240,16,18,7,40,47,27,3,3,19,20,116,15,94.61066285998014,122.60774472289154,106.75329497424177
2023,2023-02-26,22200916,Golden State Warriors,1610612744,W,39,91,0.429,15,42,0.35714285714285715,0.727,24,49,0.4897959183673469,240,16,22,16,40,56,23,11,5,18,19,109,5,101.45191836734693,107.44005806309373,102.51161503267659
2023,2023-02-28,22200931,Golden State Warriors,1610612744,W,49,91,0.538,12,30,0.4,0.813,37,61,0.6065573770491803,240,13,16,12,34,46,34,5,2,18,19,123,18,98.62313953488372,124.71718156619218,106.465886702847
2023,2023-03-02,22200945,Golden State Warriors,1610612744,W,39,93,0.419,14,46,0.30434782608695654,0.852,25,47,0.5319148936170213,240,23,27,15,45,60,25,9,6,12,20,115,24,101.34108490566038,113.47816150483771,89.79576258208897
