Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,47,11,1004,161,340,0.474,21,85,0.247,140,255,0.549,0.504,81,116,0.698,86,194,280,46,26,27,52,92,424,achiupr01
2,Steven Adams,C,29,MEM,42,42,1133,157,263,0.597,0,1,0,157,262,0.599,0.597,47,129,0.364,214,271,485,97,36,46,79,98,361,adamsst01
3,Bam Adebayo,C,25,MIA,68,68,2389,563,1037,0.543,1,12,0.083,562,1025,0.548,0.543,305,380,0.803,165,471,636,223,81,59,176,195,1432,adebaba01
4,Ochai Agbaji,SG,22,UTA,48,11,878,112,245,0.457,60,157,0.382,52,88,0.591,0.58,29,38,0.763,33,57,90,37,12,8,23,76,313,agbajoc01
5,Santi Aldama,PF,22,MEM,68,18,1495,225,480,0.469,86,247,0.348,139,233,0.597,0.558,95,129,0.736,76,248,324,85,39,45,50,129,631,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,50,3,778,118,262,0.45,52,137,0.38,66,125,0.528,0.55,38,57,0.667,13,77,90,99,30,19,52,77,326,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,83,170,0.488,35,87,0.402,48,83,0.578,0.591,27,39,0.692,8,51,59,76,24,14,45,58,228,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,14,0,250,35,92,0.38,17,50,0.34,18,42,0.429,0.473,11,18,0.611,5,26,31,23,6,5,7,19,98,alexani01
7,Grayson Allen,SG,27,MIL,65,63,1809,226,512,0.441,133,334,0.398,93,178,0.522,0.571,104,115,0.904,57,159,216,150,52,12,68,109,689,allengr01
8,Jarrett Allen,C,24,CLE,63,63,2083,376,583,0.645,1,9,0.111,375,574,0.653,0.646,149,205,0.727,201,421,622,105,51,77,88,144,902,allenja01
9,Jose Alvarado,PG,24,NOP,61,10,1310,201,489,0.411,83,247,0.336,118,242,0.488,0.496,65,80,0.813,28,113,141,186,67,10,81,125,550,alvarjo01
10,Kyle Anderson,PF,29,MIN,60,44,1665,210,415,0.506,36,86,0.419,174,329,0.529,0.549,96,130,0.738,53,264,317,277,67,53,88,131,552,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,56,56,1820,623,1142,0.546,45,156,0.288,578,986,0.586,0.565,459,707,0.649,126,538,664,312,41,45,219,179,1750,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,28,0,112,6,22,0.273,0,5,0,6,17,0.353,0.273,4,8,0.5,9,19,28,4,2,3,8,13,16,antetth01
13,Cole Anthony,PG,22,ORL,53,3,1355,235,529,0.444,63,180,0.35,172,349,0.493,0.504,137,154,0.89,40,205,245,208,33,28,79,139,670,anthoco01
14,OG Anunoby,SF,25,TOR,58,58,2072,361,760,0.475,118,305,0.387,243,455,0.534,0.553,133,159,0.836,82,212,294,110,114,42,125,176,973,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,16,1,87,6,17,0.353,5,10,0.5,1,7,0.143,0.5,0,0,,0,11,11,9,3,0,4,11,17,arcidry01
15,Ryan Arcidiacono,PG,28,POR,5,1,61,5,12,0.417,4,7,0.571,1,5,0.2,0.583,0,0,,0,7,7,7,1,0,3,8,14,arcidry01
15,Ryan Arcidiacono,PG,28,NYK,11,0,26,1,5,0.2,1,3,0.333,0,2,0,0.3,0,0,,0,4,4,2,2,0,1,3,3,arcidry01
16,Deni Avdija,SF,22,WAS,70,34,1818,216,505,0.428,61,206,0.296,155,299,0.518,0.488,112,148,0.757,71,369,440,178,59,28,101,193,605,avdijde01
17,Deandre Ayton,C,24,PHO,61,61,1857,487,827,0.589,7,24,0.292,480,803,0.598,0.593,136,181,0.751,161,458,619,111,34,47,111,173,1117,aytonde01
18,Udoka Azubuike,C,23,UTA,27,0,171,30,35,0.857,0,0,,30,35,0.857,0.857,3,10,0.3,18,46,64,7,5,8,11,16,63,azubuud01
19,Marvin Bagley III,C,23,DET,35,20,817,171,318,0.538,14,52,0.269,157,266,0.59,0.56,61,84,0.726,87,145,232,29,17,28,37,72,417,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,26,0,210,40,100,0.4,30,77,0.39,10,23,0.435,0.55,4,6,0.667,1,35,36,7,6,4,11,14,114,baldwpa01
21,LaMelo Ball,PG,21,CHO,36,36,1268,296,721,0.411,144,383,0.376,152,338,0.45,0.51,102,122,0.836,42,189,231,304,46,11,129,118,838,ballla01
22,Mo Bamba,C,24,TOT,47,7,762,116,238,0.487,48,123,0.39,68,115,0.591,0.588,41,62,0.661,56,165,221,46,13,42,30,103,321,bambamo01
22,Mo Bamba,C,24,ORL,40,6,681,106,214,0.495,43,108,0.398,63,106,0.594,0.596,35,51,0.686,47,137,184,42,12,38,22,86,290,bambamo01
22,Mo Bamba,C,24,LAL,7,1,81,10,24,0.417,5,15,0.333,5,9,0.556,0.521,6,11,0.545,9,28,37,4,1,4,8,17,31,bambamo01
23,Paolo Banchero,PF,20,ORL,66,66,2237,440,1032,0.426,74,262,0.282,366,770,0.475,0.462,363,487,0.745,75,365,440,243,57,33,180,148,1317,banchpa01
24,Desmond Bane,SG,24,MEM,49,49,1534,371,791,0.469,137,341,0.402,234,450,0.52,0.556,154,174,0.885,35,215,250,207,46,19,108,122,1033,banede01
25,Dalano Banton,PG,23,TOR,27,2,251,46,112,0.411,13,46,0.283,33,66,0.5,0.469,15,19,0.789,9,27,36,29,13,12,16,31,120,bantoda01
26,Dominick Barlow,SF,19,SAS,18,0,218,22,47,0.468,0,4,0,22,43,0.512,0.468,10,15,0.667,22,27,49,11,5,9,11,33,54,barlodo01
27,Harrison Barnes,PF,30,SAC,72,72,2355,326,693,0.47,119,318,0.374,207,375,0.552,0.556,304,359,0.847,70,267,337,114,48,10,78,95,1075,barneha02
28,Scottie Barnes,PF,21,TOR,69,68,2409,415,916,0.453,61,205,0.298,354,711,0.498,0.486,178,230,0.774,165,308,473,326,68,56,140,154,1069,barnesc01
29,RJ Barrett,SG,22,NYK,66,66,2244,465,1068,0.435,112,353,0.317,353,715,0.494,0.488,262,352,0.744,55,281,336,178,29,13,146,164,1304,barrerj01
30,Will Barton,SG,32,TOT,49,0,878,117,313,0.374,56,154,0.364,61,159,0.384,0.463,35,45,0.778,11,111,122,104,21,12,48,48,325,bartowi01
30,Will Barton,SG,32,WAS,40,0,782,110,285,0.386,52,138,0.377,58,147,0.395,0.477,35,45,0.778,10,101,111,95,17,10,45,39,307,bartowi01
30,Will Barton,SG,32,TOR,9,0,96,7,28,0.25,4,16,0.25,3,12,0.25,0.321,0,0,,1,10,11,9,4,2,3,9,18,bartowi01
31,Charles Bassey,C,22,SAS,35,2,508,87,135,0.644,3,8,0.375,84,127,0.661,0.656,22,37,0.595,75,118,193,48,16,33,41,74,199,bassech01
