SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-19,22200011,San Antonio Spurs,1610612759,L,40,99,0.404,7,34,0.20588235294117646,0.714,33,65,0.5076923076923077,240,15,21,14,30,44,22,8,8,15,19,102,-27,103.80464349376115,98.26150022482413,124.27189734315994
2023,2022-10-28,22200077,San Antonio Spurs,1610612759,W,46,86,0.535,16,38,0.42105263157894735,0.808,30,48,0.625,240,21,26,8,34,42,37,7,3,21,17,129,5,106.49224489795918,121.13558139713155,116.4404038235993
2023,2022-10-30,22200092,San Antonio Spurs,1610612759,W,36,86,0.419,16,40,0.4,0.76,20,46,0.43478260869565216,240,19,25,14,38,52,27,6,7,20,21,107,9,98.93810508182601,108.14842260371418,99.05182630994382
2023,2022-11-02,22200114,San Antonio Spurs,1610612759,L,37,94,0.394,14,43,0.32558139534883723,0.857,23,51,0.45098039215686275,240,12,14,13,33,46,29,3,6,23,20,100,-43,110.04111111111112,90.87512747760937,129.9514322929814
2023,2022-11-04,22200126,San Antonio Spurs,1610612759,L,42,88,0.477,12,31,0.3870967741935484,0.556,30,57,0.5263157894736842,240,10,18,6,29,35,23,7,2,13,17,106,-7,100.85236037234043,105.10413401199021,112.04497305051788
2023,2022-11-07,22200154,San Antonio Spurs,1610612759,L,43,82,0.524,12,33,0.36363636363636365,0.611,31,49,0.6326530612244898,240,11,18,10,28,38,31,14,5,24,17,109,-6,105.75769841269842,103.06578304555111,108.73912890126951
2023,2022-11-09,22200169,San Antonio Spurs,1610612759,L,47,98,0.48,12,37,0.32432432432432434,0.696,35,61,0.5737704918032787,265,16,23,13,26,39,30,8,2,12,17,122,-2,103.30485795454545,118.09705992111279,120.03307729686874
2023,2022-11-11,22200180,San Antonio Spurs,1610612759,W,43,85,0.506,12,31,0.3870967741935484,0.867,31,54,0.5740740740740741,240,13,15,9,41,50,22,3,13,19,22,111,18,99.52266129032259,111.53238725821075,93.44605418931171
2023,2022-11-23,22200269,San Antonio Spurs,1610612759,L,41,85,0.482,10,34,0.29411764705882354,0.643,31,51,0.6078431372549019,240,18,28,8,29,37,31,11,1,20,23,110,-19,107.06754182754182,102.7388862417161,120.48469386528527
2023,2022-11-25,22200282,San Antonio Spurs,1610612759,L,38,100,0.38,6,33,0.18181818181818182,0.75,32,67,0.47761194029850745,240,12,16,20,30,50,21,11,3,16,18,94,-11,100.70468220338984,93.34223388953393,104.26526125958577
2023,2022-11-26,22200288,San Antonio Spurs,1610612759,L,53,105,0.505,18,37,0.4864864864864865,0.7,35,68,0.5147058823529411,240,14,20,17,30,47,33,8,5,10,32,138,-5,107.32296740994855,128.58384680407912,133.24268183321243
2023,2022-12-02,22200333,San Antonio Spurs,1610612759,L,38,98,0.388,11,39,0.28205128205128205,0.75,27,59,0.4576271186440678,240,12,16,10,39,49,26,4,4,12,23,99,-18,102.16584520600694,96.90126852117425,114.51968097956954
2023,2022-12-04,22200345,San Antonio Spurs,1610612759,L,38,87,0.437,6,31,0.1935483870967742,0.722,32,56,0.5714285714285714,240,13,18,12,28,40,19,5,3,19,24,95,-38,97.75918604651163,97.17756851494357,136.048595920921
2023,2022-12-08,22200375,San Antonio Spurs,1610612759,W,46,83,0.554,13,36,0.3611111111111111,0.867,33,47,0.7021276595744681,240,13,15,7,31,38,25,5,7,17,19,118,9,97.96616698903932,120.44974671021077,111.26290162214387
2023,2022-12-12,22200406,San Antonio Spurs,1610612759,W,46,97,0.474,9,27,0.3333333333333333,0.688,37,70,0.5285714285714286,240,11,16,19,27,46,25,6,2,13,19,112,1,95.31933035714286,117.4997763626307,116.45067121653577
2023,2022-12-14,22200420,San Antonio Spurs,1610612759,L,45,97,0.464,11,29,0.3793103448275862,0.579,34,68,0.5,240,11,19,14,26,40,23,9,3,11,16,112,-16,99.49013824884793,112.57397162305875,128.65596756921002
2023,2022-12-17,22200439,San Antonio Spurs,1610612759,L,33,77,0.429,10,27,0.37037037037037035,0.758,23,50,0.46,240,25,33,7,31,38,29,8,3,17,19,101,-10,97.5851282051282,103.49937726955032,113.74684036554541
2023,2022-12-26,22200503,San Antonio Spurs,1610612759,W,48,87,0.552,6,18,0.3333333333333333,0.706,42,69,0.6086956521739131,240,24,34,6,35,41,27,11,8,14,25,126,4,105.88824089635854,118.99338296055602,115.21581524752249
2023,2022-12-29,22200527,San Antonio Spurs,1610612759,W,45,88,0.511,11,28,0.39285714285714285,0.724,34,60,0.5666666666666667,240,21,29,14,34,48,25,5,7,13,23,122,7,98.04690125477359,124.43024556480842,117.29080524551614
2023,2022-12-31,22200542,San Antonio Spurs,1610612759,L,47,85,0.553,8,19,0.42105263157894735,0.719,39,66,0.5909090909090909,240,23,32,15,33,48,28,1,0,13,21,125,-1,93.42406593406594,133.7985012215362,134.8688892313085
2023,2023-01-06,22200585,San Antonio Spurs,1610612759,W,45,81,0.556,9,24,0.375,0.846,36,57,0.631578947368421,240,22,26,7,37,44,27,8,4,18,16,121,12,100.38901525198939,120.53111557701246,108.57761651152362
2023,2023-01-07,22200591,San Antonio Spurs,1610612759,L,49,100,0.49,7,25,0.28,0.786,42,75,0.56,240,11,14,12,39,51,25,6,3,13,20,116,-5,106.06255319148937,109.36942069513374,114.08361986302742
2023,2023-01-13,22200635,San Antonio Spurs,1610612759,L,40,88,0.455,8,22,0.36363636363636365,0.735,32,66,0.48484848484848486,240,25,34,7,31,38,26,6,3,15,19,113,-31,108.83689302325581,103.82508803871737,132.3080767927018
2023,2023-01-15,22200652,San Antonio Spurs,1610612759,L,48,93,0.516,10,26,0.38461538461538464,0.65,38,67,0.5671641791044776,240,13,20,11,29,40,27,1,3,10,21,119,-13,97.53353174603174,122.00932117362974,135.33807054553887
2023,2023-01-17,22200666,San Antonio Spurs,1610612759,W,37,97,0.381,7,34,0.20588235294117646,0.893,30,63,0.47619047619047616,240,25,28,13,41,54,23,12,4,16,22,106,8,108.025,98.12543392733163,90.71974080074057
2023,2023-01-20,22200687,San Antonio Spurs,1610612759,L,51,89,0.573,14,26,0.5384615384615384,0.714,37,63,0.5873015873015873,240,10,14,12,22,34,34,3,1,7,15,126,-5,87.05727272727273,144.7323078850913,150.475653436087
2023,2023-01-28,22200748,San Antonio Spurs,1610612759,L,48,109,0.44,10,29,0.3448275862068966,0.706,38,80,0.475,265,12,17,17,36,53,32,6,4,13,20,118,-10,105.83586538461539,111.49339552445596,120.94198836551153
2023,2023-01-30,22200760,San Antonio Spurs,1610612759,L,42,97,0.433,7,29,0.2413793103448276,0.652,35,68,0.5147058823529411,240,15,23,14,29,43,26,6,6,10,20,106,-21,100.88159041394334,105.07368050508967,125.89016437873953
2023,2023-02-01,22200775,San Antonio Spurs,1610612759,L,48,88,0.545,8,24,0.3333333333333333,0.714,40,64,0.625,240,5,7,8,32,40,30,5,1,18,17,109,-10,99.89654970760233,109.11287759091131,119.12323333319674
2023,2023-02-03,22200791,San Antonio Spurs,1610612759,L,52,89,0.584,7,21,0.3333333333333333,0.933,45,68,0.6617647058823529,240,14,15,9,26,35,32,8,0,18,25,125,-12,100.78289705882352,124.02898075756026,135.93576291028606
2023,2023-03-02,22200944,San Antonio Spurs,1610612759,W,45,98,0.459,10,32,0.3125,0.769,35,66,0.5303030303030303,240,10,13,13,37,50,31,5,6,17,14,110,11,102.79922068283028,107.00470224320719,96.30423201888647
2023,2023-03-04,22200959,San Antonio Spurs,1610612759,L,38,86,0.442,15,37,0.40540540540540543,0.95,23,49,0.46938775510204084,240,19,20,13,29,42,24,9,3,15,20,110,-12,96.19365750528542,114.35265364970242,126.8274885933063
2023,2023-03-10,22201002,San Antonio Spurs,1610612759,W,51,94,0.543,13,33,0.3939393939393939,0.765,38,61,0.6229508196721312,240,13,17,13,37,50,31,10,0,19,20,128,8,103.65475730994152,123.48685513513186,115.76892668918613
2023,2023-03-12,22201018,San Antonio Spurs,1610612759,L,33,88,0.375,10,36,0.2777777777777778,0.737,23,52,0.4423076923076923,240,14,19,10,40,50,24,3,7,19,18,90,-12,101.0638824383164,89.05258518534635,100.9262632100592
2023,2023-03-14,22201032,San Antonio Spurs,1610612759,W,48,85,0.565,22,41,0.5365853658536586,0.778,26,44,0.5909090909090909,240,14,18,7,40,47,39,6,7,15,17,132,18,99.99597222222224,132.0053168808188,114.00459185161623
