SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-19,22200012,Utah Jazz,1610612762,W,42,83,0.506,16,38,0.42105263157894735,0.742,26,45,0.5777777777777777,240,23,31,11,32,43,27,10,1,20,21,123,21,101.12025793650794,121.63734795576772,100.8699958657586
2023,2022-10-26,22200063,Utah Jazz,1610612762,W,38,90,0.422,13,45,0.28888888888888886,0.667,25,45,0.5555555555555556,240,20,30,11,42,53,28,11,5,16,28,109,8,105.88989130434783,102.93711576935434,95.38209809820907
2023,2022-10-29,22200087,Utah Jazz,1610612762,W,45,87,0.517,19,44,0.4318181818181818,0.75,26,43,0.6046511627906976,240,15,20,10,24,34,30,8,6,20,17,124,1,102.90308823529412,120.50172849668664,119.52994036364883
2023,2022-10-31,22200101,Utah Jazz,1610612762,W,42,89,0.472,19,47,0.40425531914893614,0.818,23,42,0.5476190476190477,240,18,22,11,37,48,26,10,6,16,30,121,16,103.69853535353535,116.68438670563614,101.25504631480821
2023,2022-11-07,22200157,Utah Jazz,1610612762,W,53,95,0.558,16,38,0.42105263157894735,0.773,37,57,0.6491228070175439,240,17,22,10,31,41,30,10,7,15,23,139,23,104.01912280701754,133.62927531880945,111.51795638116472
2023,2022-11-15,22200208,Utah Jazz,1610612762,L,36,83,0.434,14,43,0.32558139534883723,0.833,22,40,0.55,240,25,30,15,34,49,29,7,5,21,22,111,-7,100.86737588652483,110.04549193871595,116.98529773665301
2023,2022-11-18,22200232,Utah Jazz,1610612762,W,51,91,0.56,16,31,0.5161290322580645,0.667,35,60,0.5833333333333334,240,16,24,11,25,36,32,6,3,17,28,134,1,104.85042847725774,127.80109909523627,126.84735954974944
2023,2022-11-23,22200270,Utah Jazz,1610612762,L,41,83,0.494,18,41,0.43902439024390244,0.842,23,42,0.5476190476190477,240,16,19,7,31,38,31,4,7,16,21,116,-9,97.51045738045738,118.9615997260702,128.19137901516186
2023,2022-11-28,22200306,Utah Jazz,1610612762,L,41,85,0.482,19,49,0.3877551020408163,0.4,22,36,0.6111111111111112,240,6,15,9,36,45,30,5,4,14,17,107,-7,96.29740905057676,111.11410063359241,118.38324740401436
2023,2022-11-30,22200322,Utah Jazz,1610612762,W,45,81,0.556,14,32,0.4375,0.75,31,49,0.6326530612244898,240,21,28,13,33,46,24,4,7,18,24,125,13,96.95988571428572,128.91929386998333,115.51168730750507
2023,2022-12-02,22200335,Utah Jazz,1610612762,W,46,83,0.554,15,34,0.4411764705882353,0.865,31,49,0.6326530612244898,240,32,37,8,39,47,29,7,2,26,28,139,20,114.12610294117647,121.79509894563225,104.27062427719595
2023,2022-12-03,22200343,Utah Jazz,1610612762,L,38,84,0.452,13,36,0.3611111111111111,0.786,25,48,0.5208333333333334,240,22,28,10,34,44,20,8,4,13,22,111,-5,97.92296022201666,113.35441631700505,118.46047110605933
2023,2022-12-07,22200372,Utah Jazz,1610612762,W,46,86,0.535,15,35,0.42857142857142855,0.81,31,51,0.6078431372549019,240,17,21,9,31,40,26,6,7,17,17,124,1,102.67303903903904,120.77172465193308,119.79775913054654
2023,2022-12-09,22200385,Utah Jazz,1610612762,L,39,90,0.433,13,44,0.29545454545454547,0.708,26,46,0.5652173913043478,240,17,24,12,28,40,22,9,0,11,20,108,-10,98.45836470588236,109.69103572116059,119.84761310274953
2023,2022-12-13,22200412,Utah Jazz,1610612762,W,49,103,0.476,15,47,0.3191489361702128,0.667,34,56,0.6071428571428571,240,8,12,19,40,59,31,4,10,22,23,121,21,106.65015473887814,113.45506276690922,93.76451468339604
2023,2022-12-15,22200426,Utah Jazz,1610612762,W,42,92,0.457,18,47,0.3829787234042553,0.811,24,45,0.5333333333333333,265,30,37,11,33,44,24,8,6,16,25,132,3,108.15817073170732,122.0434841926402,119.26976864280745
2023,2022-12-22,22200478,Utah Jazz,1610612762,W,42,86,0.488,16,35,0.45714285714285713,0.952,26,51,0.5098039215686274,240,20,21,8,32,40,16,5,3,11,16,120,8,96.46533333333333,124.39702000027644,116.10388533359135
2023,2022-12-31,22200546,Utah Jazz,1610612762,L,35,81,0.432,17,40,0.425,0.818,18,41,0.43902439024390244,240,36,44,16,33,49,23,6,3,16,23,123,-3,99.16837209302325,124.03148040448005,127.05663846312592
2023,2023-01-03,22200563,Utah Jazz,1610612762,L,38,88,0.432,13,44,0.29545454545454547,0.897,25,44,0.5681818181818182,240,26,29,12,32,44,21,9,3,16,19,115,-2,102.42564102564103,112.27657337405496,114.22920943273418
2023,2023-01-10,22200614,Utah Jazz,1610612762,W,38,87,0.437,10,36,0.2777777777777778,0.811,28,51,0.5490196078431373,240,30,37,15,39,54,21,3,3,16,17,116,2,98.55384057971014,117.70216088756018,115.67281328605053
2023,2023-01-13,22200638,Utah Jazz,1610612762,W,36,83,0.434,11,35,0.3142857142857143,0.725,25,48,0.5208333333333334,240,29,40,17,42,59,15,9,11,24,18,112,4,104.9112448728466,106.75690688423825,102.94416020980115
2023,2023-01-14,22200646,Utah Jazz,1610612762,L,43,90,0.478,12,40,0.3,0.826,31,50,0.62,240,19,23,10,38,48,20,5,6,12,24,117,-1,97.66300111982083,119.79971806974781,120.82364728401916
2023,2023-01-18,22200675,Utah Jazz,1610612762,W,45,87,0.517,19,32,0.59375,0.773,26,55,0.4727272727272727,240,17,22,9,35,44,26,4,7,8,19,126,23,94.66560419516644,133.10008537021884,108.80403804073444
2023,2023-01-20,22200689,Utah Jazz,1610612762,L,37,88,0.42,16,39,0.41025641025641024,0.696,21,49,0.42857142857142855,240,16,23,13,33,46,24,6,1,11,18,106,-11,93.31573783359498,113.59284345907889,125.38078004445501
2023,2023-01-23,22200710,Utah Jazz,1610612762,W,41,86,0.477,16,40,0.4,0.846,25,46,0.5434782608695652,240,22,26,9,37,46,25,8,4,16,26,120,18,101.82072916666667,117.8541943100568,100.17606516354827
2023,2023-01-28,22200750,Utah Jazz,1610612762,W,39,82,0.476,13,36,0.3611111111111111,0.708,26,46,0.5652173913043478,240,17,24,13,36,49,26,9,6,17,23,108,8,92.69797611565053,116.50739803127803,107.87722039933149
2023,2023-02-01,22200776,Utah Jazz,1610612762,W,44,83,0.53,17,47,0.3617021276595745,0.867,27,36,0.75,240,26,30,13,36,49,29,3,11,16,17,131,3,99.76313729508198,131.31102685005266,128.30390409776138
2023,2023-02-03,22200792,Utah Jazz,1610612762,L,41,91,0.451,13,44,0.29545454545454547,0.722,28,47,0.5957446808510638,240,13,18,13,37,50,20,4,2,15,22,108,-7,98.89137254901961,109.21074024578365,116.28921415060296
2023,2023-02-06,22200813,Utah Jazz,1610612762,L,41,87,0.471,6,31,0.1935483870967742,0.885,35,56,0.625,240,23,26,10,27,37,21,4,4,13,23,111,-13,96.82536255411256,114.63938483882845,128.0656190992318
2023,2023-02-08,22200828,Utah Jazz,1610612762,L,44,105,0.419,12,34,0.35294117647058826,0.857,32,71,0.4507042253521127,240,18,21,21,29,50,27,2,5,8,12,118,-25,100.51937162162163,117.39030805343624,142.26113603085918
2023,2023-02-23,22200892,Utah Jazz,1610612762,W,42,100,0.42,13,48,0.2708333333333333,0.852,29,52,0.5576923076923077,265,23,27,17,41,58,26,8,10,22,29,120,1,111.20420765027322,107.90958591907666,107.01033936975102
2023,2023-02-25,22200909,Utah Jazz,1610612762,W,43,92,0.467,10,28,0.35714285714285715,0.786,33,64,0.515625,240,22,28,15,41,56,29,5,11,16,16,118,16,103.25181063829788,114.28371015532754,98.78761386307974
2023,2023-02-28,22200930,Utah Jazz,1610612762,L,30,85,0.353,10,34,0.29411764705882354,0.667,20,51,0.39215686274509803,240,24,36,14,38,52,15,8,9,20,15,94,-8,103.6337659574468,90.7040279117112,98.42351964887811
2023,2023-03-18,22201062,Utah Jazz,1610612762,W,42,97,0.433,17,41,0.4146341463414634,0.773,25,56,0.44642857142857145,240,17,22,17,39,56,29,3,5,7,14,118,1,95.18369755244755,123.97080911358833,122.92020903635452
2023,2023-03-20,22201076,Utah Jazz,1610612762,W,46,88,0.523,16,36,0.4444444444444444,0.87,30,52,0.5769230769230769,240,20,23,6,42,48,33,3,8,12,23,128,8,103.01810731707317,124.25000160994666,116.48437650932499
2023,2022-10-21,22200025,Utah Jazz,1610612762,W,49,111,0.441,20,50,0.4,0.667,29,61,0.47540983606557374,265,14,21,19,35,54,39,11,8,13,23,132,6,111.79771551724139,118.07039114287004,112.70355518183048
2023,2022-10-23,22200040,Utah Jazz,1610612762,W,43,98,0.439,13,38,0.34210526315789475,0.821,30,60,0.5,265,23,28,15,29,44,29,13,6,17,20,122,1,107.99884479271992,112.96417126882443,112.03823543875208
2023,2022-10-24,22200048,Utah Jazz,1610612762,L,44,93,0.473,11,32,0.34375,0.563,33,61,0.5409836065573771,240,9,16,18,31,49,23,8,10,20,27,108,-6,99.41645833333334,108.63392421191158,114.66914222368445
2023,2022-10-28,22200078,Utah Jazz,1610612762,L,38,91,0.418,10,39,0.2564102564102564,0.789,28,52,0.5384615384615384,240,15,19,8,30,38,24,7,8,10,30,101,-16,96.06912288319583,105.13263467888565,121.78730947950118
