SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-19,22200005,Atlanta Hawks,1610612737,W,45,90,0.5,7,25,0.28,0.833,38,65,0.5846153846153846,240,20,24,4,34,38,30,12,5,9,18,117,10,102.8890365448505,113.71473961562306,103.99553110146724
2023,2022-10-21,22200020,Atlanta Hawks,1610612737,W,40,89,0.449,13,31,0.41935483870967744,0.938,27,58,0.46551724137931033,240,15,16,9,37,46,26,10,2,17,22,108,10,100.86313953488371,107.07578655396503,97.16136187304234
2023,2022-10-23,22200038,Atlanta Hawks,1610612737,L,39,95,0.411,8,35,0.22857142857142856,0.821,31,60,0.5166666666666667,240,23,28,16,29,45,23,8,9,12,21,109,-17,100.73296296296297,108.20688361969121,125.0831865695513
2023,2022-11-05,22200134,Atlanta Hawks,1610612737,W,47,103,0.456,9,36,0.25,0.84,38,67,0.5671641791044776,265,21,25,12,38,50,28,12,8,13,23,124,3,112.80782051282051,109.92145707301162,107.26206698253553
2023,2022-11-07,22200149,Atlanta Hawks,1610612737,W,46,99,0.465,11,29,0.3793103448275862,0.824,35,70,0.5,240,14,17,12,36,48,23,11,3,12,18,117,19,103.96256838905776,112.5405055040122,94.26469691789056
2023,2022-11-09,22200162,Atlanta Hawks,1610612737,L,51,109,0.468,8,28,0.2857142857142857,0.818,43,81,0.5308641975308642,240,9,11,17,37,54,24,5,5,11,16,119,-6,103.20166666666667,115.30821530660033,121.12207490189111
2023,2022-11-10,22200173,Atlanta Hawks,1610612737,W,39,88,0.443,6,26,0.23076923076923078,0.87,33,62,0.532258064516129,240,20,23,11,43,54,19,8,2,18,22,104,9,102.74217062193125,101.22425813125682,92.46446656220574
2023,2022-11-16,22200214,Atlanta Hawks,1610612737,L,42,101,0.416,7,32,0.21875,0.769,35,69,0.5072463768115942,240,10,13,14,31,45,21,5,5,9,11,101,-25,99.87692271218587,101.12446124421604,126.15526848288337
2023,2022-11-19,22200235,Atlanta Hawks,1610612737,W,46,92,0.5,7,25,0.28,0.781,39,67,0.582089552238806,265,25,32,11,39,50,23,5,5,15,20,124,2,109.53957936507936,113.20109198769714,111.37526792337944
2023,2022-11-23,22200263,Atlanta Hawks,1610612737,W,41,92,0.446,11,30,0.36666666666666664,0.957,30,62,0.4838709677419355,240,22,23,10,37,47,23,9,6,13,20,115,9,104.15179521276596,110.4157636122093,101.77452993821032
2023,2022-11-27,22200293,Atlanta Hawks,1610612737,L,35,88,0.398,10,36,0.2777777777777778,0.947,25,52,0.4807692307692308,240,18,19,8,34,42,24,6,3,12,12,98,-8,97.50366666666666,100.50904068564944,108.71386033345756
2023,2022-12-02,22200327,Atlanta Hawks,1610612737,W,49,88,0.557,10,28,0.35714285714285715,0.643,39,60,0.65,240,9,14,12,31,43,24,7,3,12,14,117,8,94.13,124.29618612557103,115.79730160416446
2023,2022-12-05,22200354,Atlanta Hawks,1610612737,L,44,102,0.431,13,38,0.34210526315789475,0.765,31,64,0.484375,240,13,17,17,37,54,24,7,4,18,24,114,-7,105.91871417797887,107.62970536863001,114.23854692635291
2023,2022-12-11,22200400,Atlanta Hawks,1610612737,W,47,98,0.48,13,39,0.3333333333333333,0.762,34,59,0.576271186440678,265,16,21,8,37,45,28,3,6,15,22,123,1,113.0193,108.83096957776237,107.94616494704887
2023,2022-12-19,22200454,Atlanta Hawks,1610612737,W,48,94,0.511,12,32,0.375,0.9,36,62,0.5806451612903226,240,18,20,6,35,41,29,7,3,10,18,126,1,102.9540921409214,122.3846448255149,121.41333812055049
2023,2022-12-21,22200468,Atlanta Hawks,1610612737,L,39,91,0.429,14,37,0.3783783783783784,1,25,54,0.46296296296296297,240,16,16,9,38,47,22,6,7,15,15,108,-2,99.8828804347826,108.12663744766289,110.12898258558256
2023,2022-12-23,22200481,Atlanta Hawks,1610612737,W,49,92,0.533,12,34,0.35294117647058826,0.833,37,58,0.6379310344827587,240,20,24,8,40,48,30,10,8,8,20,130,25,103.01003401360543,126.20129800445437,101.93181761898238
2023,2022-12-28,22200517,Atlanta Hawks,1610612737,L,42,97,0.433,8,22,0.36363636363636365,0.682,34,75,0.4533333333333333,240,15,22,11,36,47,22,5,6,4,14,107,-1,97.01792452830188,110.28889818065133,111.31963554682562
2023,2022-12-30,22200530,Atlanta Hawks,1610612737,L,48,101,0.475,11,38,0.2894736842105263,0.7,37,63,0.5873015873015873,240,14,20,12,29,41,22,6,5,10,19,121,-9,106.02369844789357,114.12542834417975,122.61409656812701
2023,2023-01-11,22200620,Atlanta Hawks,1610612737,L,39,87,0.448,11,30,0.36666666666666664,0.889,28,57,0.49122807017543857,240,16,18,6,35,41,25,5,3,11,12,105,-9,98.05408163265307,107.08376260497643,116.26237082826012
2023,2023-01-16,22200661,Atlanta Hawks,1610612737,W,45,76,0.592,13,27,0.48148148148148145,0.818,32,49,0.6530612244897959,240,18,22,2,26,28,27,9,5,16,17,121,8,98.05842105263159,123.39582740686271,115.23742559483874
2023,2023-01-20,22200684,Atlanta Hawks,1610612737,W,56,100,0.56,13,34,0.38235294117647056,0.875,43,66,0.6515151515151515,240,14,16,14,25,39,27,6,4,7,16,139,15,94.3347435897436,147.3476205166816,131.44679815876628
2023,2023-01-21,22200694,Atlanta Hawks,1610612737,L,45,83,0.542,11,25,0.44,0.85,34,58,0.5862068965517241,240,17,20,6,34,40,24,5,4,18,20,118,-4,102.48066666666666,115.1436693750366,119.04684460808868
2023,2023-01-28,22200745,Atlanta Hawks,1610612737,L,45,95,0.474,7,27,0.25925925925925924,0.8,38,68,0.5588235294117647,240,16,20,15,32,47,24,12,2,9,18,113,-7,94.86717391304347,119.11390983732404,126.49264761485739
2023,2023-02-09,22200832,Atlanta Hawks,1610612737,W,43,95,0.453,10,29,0.3448275862068966,0.741,33,66,0.5,240,20,27,20,39,59,23,6,4,19,22,116,9,99.88966032608695,116.12813540592822,107.11819386581307
2023,2023-02-11,22200850,Atlanta Hawks,1610612737,W,50,103,0.485,10,26,0.38461538461538464,0.789,40,77,0.5194805194805194,240,15,19,14,34,48,29,9,6,10,10,125,19,104.17232142857142,119.99348606789917,101.75447618557851
2023,2023-02-15,22200876,Atlanta Hawks,1610612737,L,40,97,0.412,5,26,0.19230769230769232,0.762,35,71,0.49295774647887325,240,16,21,8,32,40,25,6,7,5,18,101,-21,101.5005525606469,99.50684745253203,120.1963899921674
2023,2023-02-24,22200896,Atlanta Hawks,1610612737,W,50,85,0.588,15,28,0.5357142857142857,0.913,35,57,0.6140350877192983,240,21,23,5,37,42,28,7,8,14,21,136,17,100.81533687943264,134.90010965558298,118.0375959486351
2023,2023-02-26,22200911,Atlanta Hawks,1610612737,W,45,90,0.5,16,30,0.5333333333333333,0.821,29,60,0.48333333333333334,240,23,28,13,33,46,20,7,2,16,18,129,2,102.16539335664335,126.26584772172438,124.3082376795271
2023,2023-02-28,22200923,Atlanta Hawks,1610612737,L,43,93,0.462,13,35,0.37142857142857144,0.895,30,58,0.5172413793103449,240,17,19,13,29,42,21,4,7,9,17,116,-3,94.75133333333333,122.42571784390017,125.59190020193208
2023,2023-03-03,22200947,Atlanta Hawks,1610612737,W,52,91,0.571,12,26,0.46153846153846156,0.813,40,65,0.6153846153846154,240,13,16,10,33,43,30,10,5,17,19,129,18,102.465,125.89664763577805,108.32967354706484
2023,2023-03-11,22201008,Atlanta Hawks,1610612737,L,50,100,0.5,10,34,0.29411764705882354,0.938,40,66,0.6060606060606061,240,15,16,13,35,48,24,4,4,10,17,125,-9,102.47958333333334,121.97551544819902,130.75775256046936
2023,2023-03-13,22201021,Atlanta Hawks,1610612737,L,44,97,0.454,4,22,0.18181818181818182,0.821,40,75,0.5333333333333333,240,23,28,18,33,51,17,6,4,16,19,115,-21,106.31720000000001,108.16688174632137,127.91909493478006
2023,2023-03-17,22201048,Atlanta Hawks,1610612737,W,47,100,0.47,16,41,0.3902439024390244,0.68,31,59,0.5254237288135594,240,17,25,13,32,45,27,7,8,11,15,127,8,105.6772549019608,120.17723219421323,112.60701284339665
2023,2023-03-21,22201078,Atlanta Hawks,1610612737,W,44,95,0.463,14,38,0.3684210526315789,0.75,30,57,0.5263157894736842,240,27,36,21,40,61,26,5,6,11,20,129,22,98.0025032566218,131.62929079700194,109.1808846145675
2023,2022-10-26,22200057,Atlanta Hawks,1610612737,W,45,91,0.495,8,22,0.36363636363636365,0.8,37,69,0.5362318840579711,240,20,25,10,36,46,22,6,12,12,20,118,5,101.54858695652173,116.20053369183954,111.27678226421922
2023,2022-10-28,22200070,Atlanta Hawks,1610612737,W,55,97,0.567,12,29,0.41379310344827586,0.778,43,68,0.6323529411764706,240,14,18,10,35,45,31,5,8,7,26,136,24,98.29684210526315,138.35642843374526,113.94058812190787
2023,2022-10-29,22200085,Atlanta Hawks,1610612737,L,45,94,0.479,13,29,0.4482758620689655,0.8,32,65,0.49230769230769234,240,12,15,12,30,42,19,5,2,13,23,115,-8,99.60612669245648,115.4547454245195,123.48637988883391
