SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-21,22200017,Charlotte Hornets,1610612766,L,44,97,0.454,13,34,0.38235294117647056,0.786,31,63,0.49206349206349204,240,11,14,11,26,37,30,9,4,14,24,112,-12,102.63520159283226,109.12435330357626,120.816248300388
2023,2022-10-29,22200082,Charlotte Hornets,1610612766,W,43,102,0.422,10,31,0.3225806451612903,0.774,33,71,0.4647887323943662,265,24,31,15,40,55,32,2,2,10,14,120,7,105.63994444444444,113.59339559583681,106.96711418607967
2023,2022-10-31,22200096,Charlotte Hornets,1610612766,L,43,84,0.512,14,29,0.4827586206896552,0.571,29,55,0.5272727272727272,240,8,14,6,32,38,31,11,6,21,26,108,-7,103.3222932330827,104.52729669517203,111.3022140735628
2023,2022-11-05,22200133,Charlotte Hornets,1610612766,L,32,86,0.372,14,42,0.3333333333333333,0.696,18,44,0.4090909090909091,240,16,23,13,37,50,22,3,6,15,21,94,-4,93.3156304347826,100.73339221096052,105.01991953908649
2023,2022-11-07,22200144,Charlotte Hornets,1610612766,L,42,101,0.416,5,32,0.15625,0.688,37,69,0.5362318840579711,240,11,16,17,28,45,27,8,7,11,23,100,-8,97.41287037037037,102.65583964397433,110.86830681549229
2023,2022-11-09,22200159,Charlotte Hornets,1610612766,L,34,91,0.374,10,40,0.25,0.708,24,51,0.47058823529411764,240,17,24,20,22,42,21,10,3,11,22,95,-10,91.60666666666665,103.70424277709047,114.62047885888947
2023,2022-11-16,22200211,Charlotte Hornets,1610612766,L,43,94,0.457,12,33,0.36363636363636365,0.833,31,61,0.5081967213114754,240,15,18,14,30,44,29,8,4,18,23,113,-12,100.6369545154911,112.28479691583458,124.20884614583471
2023,2022-11-23,22200260,Charlotte Hornets,1610612766,W,44,92,0.478,6,23,0.2608695652173913,0.619,38,69,0.5507246376811594,240,13,21,11,33,44,25,8,1,16,15,107,6,103.40426829268293,103.47735327243885,97.67488486463856
2023,2022-11-25,22200272,Charlotte Hornets,1610612766,W,40,89,0.449,8,25,0.32,0.688,32,64,0.5,240,22,32,15,40,55,24,6,4,18,18,110,2,105.12843137254902,104.63392116085835,102.7314862306609
2023,2022-12-02,22200326,Charlotte Hornets,1610612766,W,40,95,0.421,12,29,0.41379310344827586,0.806,28,66,0.42424242424242425,240,25,31,19,26,45,25,6,3,4,24,117,1,92.60507575757575,126.34296667094793,125.26311225495692
2023,2022-12-03,22200339,Charlotte Hornets,1610612766,L,34,87,0.391,5,24,0.20833333333333334,0.885,29,63,0.4603174603174603,240,23,26,9,35,44,15,9,4,14,19,96,-9,102.30390261627906,93.83806242473104,102.63538077704959
2023,2022-12-05,22200352,Charlotte Hornets,1610612766,L,47,98,0.48,12,34,0.35294117647058826,0.647,35,64,0.546875,240,11,17,14,35,49,29,8,4,10,16,117,-2,99.186875,117.95915538220152,119.97555120070069
2023,2022-12-09,22200377,Charlotte Hornets,1610612766,L,37,84,0.44,6,26,0.23076923076923078,0.786,31,58,0.5344827586206896,240,22,28,12,33,45,16,8,6,13,26,102,-19,97.65819109461967,104.44592394832873,123.90153723282134
2023,2022-12-14,22200414,Charlotte Hornets,1610612766,L,47,114,0.412,17,51,0.3333333333333333,0.793,30,63,0.47619047619047616,265,23,29,17,35,52,21,7,6,5,29,134,-7,110.16257745427399,121.63840307351232,127.99264801018835
2023,2022-12-16,22200428,Charlotte Hornets,1610612766,L,39,98,0.398,15,43,0.3488372093023256,0.684,24,55,0.43636363636363634,240,13,19,15,28,43,26,8,5,13,25,106,-19,99.22096153846152,106.83226442923623,125.98144390240122
2023,2022-12-29,22200523,Charlotte Hornets,1610612766,W,46,84,0.548,10,32,0.3125,0.655,36,52,0.6923076923076923,240,19,29,12,40,52,33,8,11,18,17,121,8,104.1140756302521,116.21867578185692,108.53479639132092
2023,2022-12-31,22200539,Charlotte Hornets,1610612766,L,38,96,0.396,11,41,0.2682926829268293,0.905,27,55,0.4909090909090909,240,19,21,14,31,45,28,7,2,12,17,106,-17,99.91760942760942,106.08740602105506,123.10142396782804
2023,2023-01-02,22200551,Charlotte Hornets,1610612766,L,42,93,0.452,11,32,0.34375,0.69,31,61,0.5081967213114754,240,20,29,8,39,47,24,8,7,14,22,115,-6,110.28730769230769,104.27310486247458,109.71344076834282
2023,2023-01-04,22200564,Charlotte Hornets,1610612766,L,38,94,0.404,11,38,0.2894736842105263,0.833,27,56,0.48214285714285715,240,20,24,10,34,44,25,11,8,12,23,107,-24,107.88792720306512,99.17699113692872,121.42229756016508
