SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-22,22200034,Dallas Mavericks,1610612742,W,45,90,0.5,17,39,0.4358974358974359,0.833,28,51,0.5490196078431373,240,30,36,15,37,52,23,7,7,15,24,137,41,100.1374082007344,136.81200907993468,95.86826913630459
2023,2022-10-29,22200086,Dallas Mavericks,1610612742,L,38,95,0.4,8,40,0.2,0.794,30,55,0.5454545454545454,265,27,34,12,37,49,17,8,5,16,30,111,-6,108.47087391304348,102.3316176921226,107.8630564862914
2023,2022-10-30,22200093,Dallas Mavericks,1610612742,W,41,83,0.494,11,35,0.3142857142857143,0.75,30,48,0.625,240,21,28,5,32,37,15,10,1,4,22,114,9,92.23789563244469,123.59345279761618,113.83607494517278
2023,2022-11-02,22200115,Dallas Mavericks,1610612742,W,42,84,0.5,11,38,0.2894736842105263,0.533,31,46,0.6739130434782609,240,8,15,7,30,37,20,9,4,12,14,103,3,92.92742857142858,110.83918018976404,107.61085455316899
2023,2022-11-04,22200127,Dallas Mavericks,1610612742,W,39,77,0.506,12,34,0.35294117647058826,0.84,27,43,0.627906976744186,240,21,25,6,25,31,23,12,3,19,21,111,1,96.71440406976744,114.77090829193062,113.73693614515648
2023,2022-11-07,22200155,Dallas Mavericks,1610612742,W,32,72,0.444,12,28,0.42857142857142855,0.833,20,44,0.45454545454545453,240,20,24,12,29,41,18,7,3,22,20,96,2,86.73662790697674,110.67988497657304,108.3740540395611
2023,2022-11-12,22200190,Dallas Mavericks,1610612742,W,41,81,0.506,14,43,0.32558139534883723,0.808,27,38,0.7105263157894737,240,21,26,7,33,40,26,8,2,11,27,117,5,94.08164102564103,124.36007570075525,119.04554255115032
2023,2022-11-15,22200207,Dallas Mavericks,1610612742,W,35,80,0.438,17,43,0.3953488372093023,0.667,18,37,0.4864864864864865,240,16,24,8,26,34,20,12,1,12,20,103,2,92.55965517241378,111.27958483438454,109.11881619682369
2023,2022-11-16,22200218,Dallas Mavericks,1610612742,L,31,102,0.304,12,55,0.21818181818181817,0.947,19,47,0.40425531914893614,240,18,19,13,25,38,21,9,2,6,19,92,-9,97.70521078431372,94.16079169317992,103.37217348925188
2023,2022-11-18,22200230,Dallas Mavericks,1610612742,W,46,77,0.597,13,32,0.40625,0.786,33,45,0.7333333333333333,240,22,28,6,38,44,29,5,3,10,19,127,28,93.67724814063556,135.57187312904168,105.68201133681202
2023,2022-11-20,22200246,Dallas Mavericks,1610612742,L,35,78,0.449,15,42,0.35714285714285715,0.571,20,36,0.5555555555555556,240,12,21,6,30,36,24,5,3,13,18,97,-1,94.91875959079283,102.19265445332373,103.24618697346108
2023,2022-11-29,22200310,Dallas Mavericks,1610612742,W,42,91,0.462,15,44,0.3409090909090909,0.63,27,47,0.574468085106383,240,17,27,8,31,39,21,7,4,14,21,116,3,105.12839430894309,110.34126485286961,107.48761145150229
2023,2022-12-05,22200358,Dallas Mavericks,1610612742,W,44,84,0.524,20,41,0.4878048780487805,0.846,24,43,0.5581395348837209,240,22,26,10,31,41,23,7,6,13,23,130,19,97.20694377990431,133.73530217588737,114.18937339633462
2023,2022-12-09,22200386,Dallas Mavericks,1610612742,L,41,88,0.466,13,40,0.325,0.417,28,48,0.5833333333333334,240,10,24,12,31,43,21,8,6,11,21,105,-1,97.11985909090909,108.11383066537886,109.14348619552531
2023,2022-12-12,22200405,Dallas Mavericks,1610612742,W,39,93,0.419,22,54,0.4074074074074074,0.84,17,39,0.4358974358974359,240,21,25,16,34,50,24,4,3,14,19,121,7,97.97681818181817,123.49860124612037,116.35405406659277
2023,2022-12-14,22200421,Dallas Mavericks,1610612742,L,29,74,0.392,13,38,0.34210526315789475,0.731,16,36,0.4444444444444444,240,19,26,6,27,33,17,2,3,13,15,90,-15,89.62407670454546,100.41944453909836,117.15601862894809
2023,2022-12-16,22200436,Dallas Mavericks,1610612742,W,45,81,0.556,18,43,0.4186046511627907,0.846,27,38,0.7105263157894737,240,22,26,3,37,40,25,4,5,13,19,130,20,100.35765349544073,129.53670743796928,109.60798321674324
2023,2022-12-25,22200494,Dallas Mavericks,1610612742,W,44,84,0.524,18,44,0.4090909090909091,0.72,26,40,0.65,240,18,25,11,27,38,31,6,3,11,26,124,9,94.02681818181817,131.87726905766732,122.30553178735275
2023,2022-12-27,22200512,Dallas Mavericks,1610612742,W,44,90,0.489,13,46,0.2826086956521739,0.758,31,44,0.7045454545454546,265,25,33,7,40,47,20,4,5,9,25,126,5,104.31721637426901,120.7854315705066,115.99235888913728
2023,2022-12-29,22200528,Dallas Mavericks,1610612742,W,47,91,0.516,18,45,0.4,0.68,29,46,0.6304347826086957,240,17,25,6,38,44,30,7,8,9,26,129,15,102.37394285714285,126.0086271953131,111.3564612423697
2023,2023-01-05,22200577,Dallas Mavericks,1610612742,L,34,90,0.378,7,32,0.21875,0.8,27,58,0.46551724137931033,240,20,25,11,31,42,15,4,3,11,19,95,-29,97.37091118269674,97.5650724082799,127.34809451186008
2023,2023-01-07,22200593,Dallas Mavericks,1610612742,W,42,74,0.568,13,29,0.4482758620689655,0.789,29,45,0.6444444444444445,240,30,38,5,34,39,23,5,7,17,24,127,10,103.05735294117648,123.2323520598182,113.52901725195849
2023,2023-01-18,22200670,Dallas Mavericks,1610612742,L,44,84,0.524,16,42,0.38095238095238093,0.75,28,42,0.6666666666666666,240,18,24,10,21,31,26,5,3,16,19,122,-8,97.21967105263157,125.48900719274513,133.71779454964647
2023,2023-01-20,22200686,Dallas Mavericks,1610612742,W,37,80,0.463,18,38,0.47368421052631576,0.821,19,42,0.4523809523809524,240,23,28,10,27,37,21,7,1,10,22,115,25,90.26221590909091,127.4065774275076,99.70949537804943
2023,2023-01-22,22200701,Dallas Mavericks,1610612742,L,35,80,0.438,13,35,0.37142857142857144,0.577,22,45,0.4888888888888889,240,15,26,12,26,38,15,3,3,10,21,98,-14,88.72608163265306,110.45230240837543,126.23120275242906
2023,2023-01-24,22200717,Dallas Mavericks,1610612742,L,47,89,0.528,10,30,0.3333333333333333,0.846,37,59,0.6271186440677966,240,22,26,8,30,38,24,6,2,9,25,126,-1,101.5637015503876,124.06007075026612,125.04467448637935
