SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-21,22200024,Houston Rockets,1610612745,L,44,93,0.473,16,35,0.45714285714285713,0.6,28,58,0.4827586206896552,240,18,30,13,32,45,18,4,6,14,22,122,-7,103.05396406388641,118.38457754460406,125.17713527257312
2023,2022-10-24,22200048,Houston Rockets,1610612745,W,38,90,0.422,11,35,0.3142857142857143,0.844,27,55,0.4909090909090909,240,27,32,17,30,47,17,7,7,16,20,114,6,99.41645833333334,114.66914222368445,108.63392421191158
2023,2022-11-02,22200112,Houston Rockets,1610612745,L,37,88,0.42,11,38,0.2894736842105263,0.762,26,50,0.52,240,16,21,16,34,50,17,9,5,19,22,101,-8,97.4538,103.63885246137143,111.84787047811373
2023,2022-11-14,22200203,Houston Rockets,1610612745,L,39,86,0.453,9,30,0.3,0.613,30,56,0.5357142857142857,240,19,31,10,30,40,20,11,3,14,22,106,-16,101.27376068376068,104.66679550984341,120.46555709623487
2023,2022-11-18,22200228,Houston Rockets,1610612745,L,29,86,0.337,6,28,0.21428571428571427,0.844,23,58,0.39655172413793105,240,27,32,14,35,49,15,8,4,17,24,91,-8,96.0231914893617,94.7687726147717,103.10009328420217
2023,2022-11-20,22200245,Houston Rockets,1610612745,L,41,90,0.456,15,45,0.3333333333333333,0.852,26,45,0.5777777777777777,240,23,27,12,33,45,24,13,1,14,12,120,-7,100.57484478935699,119.31412894678274,126.27411980201173
2023,2022-11-25,22200278,Houston Rockets,1610612745,W,41,87,0.471,12,35,0.34285714285714286,0.829,29,52,0.5576923076923077,240,34,41,22,37,59,25,9,4,22,29,128,6,102.385,125.01831322947696,119.15807979684523
2023,2022-11-26,22200287,Houston Rockets,1610612745,W,45,86,0.523,18,36,0.5,0.714,27,50,0.54,240,10,14,11,42,53,25,9,3,25,19,118,13,103.49005268199234,114.02062028376226,101.45902652368675
2023,2022-12-05,22200356,Houston Rockets,1610612745,W,42,94,0.447,14,39,0.358974358974359,0.773,28,55,0.509090909090909,290,34,44,16,35,51,19,9,3,21,27,132,9,110.74276679841897,119.1951436794737,111.06820206496415
2023,2022-12-11,22200401,Houston Rockets,1610612745,W,40,91,0.44,6,27,0.2222222222222222,0.917,34,64,0.53125,240,11,12,10,39,49,23,11,8,12,17,97,5,97.30788265306123,99.68359947347848,94.54526960371155
2023,2022-12-13,22200411,Houston Rockets,1610612745,W,34,81,0.42,12,35,0.34285714285714286,0.912,22,46,0.4782608695652174,240,31,34,17,50,67,16,6,9,23,21,111,14,99.24571819425444,111.84361604672839,97.73721402281672
2023,2022-12-15,22200424,Houston Rockets,1610612745,L,44,94,0.468,9,33,0.2727272727272727,0.647,35,61,0.5737704918032787,240,11,17,18,33,51,22,10,4,15,19,108,-3,94.74809477756287,113.9864608924836,117.15275147283037
2023,2022-12-17,22200441,Houston Rockets,1610612745,L,36,90,0.4,3,29,0.10344827586206896,0.69,33,61,0.5409836065573771,240,20,29,18,33,51,19,7,6,17,18,95,-12,95.1825264270613,99.80823536218996,112.41559140794027
2023,2022-12-19,22200455,Houston Rockets,1610612745,L,40,94,0.426,5,24,0.20833333333333334,0.645,35,70,0.5,240,20,31,16,25,41,23,13,3,11,16,105,-19,99.53863762486125,105.48667583307841,124.57474098382593
2023,2022-12-21,22200472,Houston Rockets,1610612745,L,41,88,0.466,17,43,0.3953488372093023,0.647,24,45,0.5333333333333333,240,11,17,9,40,49,22,6,4,17,23,110,-6,102.46748518011856,107.35112685418278,113.20664286441091
2023,2022-12-23,22200487,Houston Rockets,1610612745,L,37,81,0.457,8,26,0.3076923076923077,0.857,29,55,0.5272727272727272,240,24,28,12,33,45,26,9,3,15,21,106,-6,94.63742307692308,112.00643102236754,118.346417684011
2023,2022-12-31,22200541,Houston Rockets,1610612745,L,29,77,0.377,14,46,0.30434782608695654,0.696,15,31,0.4838709677419355,240,16,23,12,40,52,20,4,6,25,24,88,-20,96.25571428571428,91.42314370946438,112.20113091616084
2023,2023-01-02,22200556,Houston Rockets,1610612745,L,38,82,0.463,9,29,0.3103448275862069,0.724,29,53,0.5471698113207547,240,21,29,8,38,46,21,4,4,10,28,106,-5,94.13378579003181,112.60569104958356,117.9172802500356
2023,2023-01-05,22200578,Houston Rockets,1610612745,L,38,92,0.413,15,42,0.35714285714285715,0.885,23,50,0.46,240,23,26,14,35,49,19,4,3,15,21,114,-17,99.65117263056094,114.39905521496951,131.45856344878078
2023,2023-01-08,22200601,Houston Rockets,1610612745,L,38,89,0.427,11,36,0.3055555555555556,0.6,27,53,0.5094339622641509,240,9,15,12,29,41,26,8,7,20,19,96,-8,99.11177491601345,96.86033781692403,104.93203263500104
2023,2023-01-18,22200671,Houston Rockets,1610612745,L,46,91,0.505,10,32,0.3125,0.75,36,59,0.6101694915254238,240,15,20,12,35,47,21,4,5,20,22,117,-5,103.75649885583525,112.7640208470854,117.58299609696085
2023,2023-01-23,22200709,Houston Rockets,1610612745,W,44,88,0.5,11,30,0.36666666666666664,0.667,33,58,0.5689655172413793,240,20,30,12,35,47,24,11,5,23,15,119,5,107.18045666839646,111.02770383613105,106.36267426318437
2023,2023-01-25,22200722,Houston Rockets,1610612745,L,42,97,0.433,5,28,0.17857142857142858,0.7,37,69,0.5362318840579711,240,14,20,17,40,57,29,5,10,14,15,103,-5,98.48686363636364,104.58247546627122,109.65929466366305
2023,2023-01-26,22200733,Houston Rockets,1610612745,L,39,76,0.513,5,21,0.23809523809523808,0.6,34,55,0.6181818181818182,240,12,20,10,36,46,24,5,6,22,20,95,-18,94.35928571428572,100.6790156166022,119.75503962816892
2023,2023-02-01,22200773,Houston Rockets,1610612745,W,41,94,0.436,7,23,0.30434782608695654,0.742,34,71,0.4788732394366197,240,23,31,24,41,65,20,6,12,18,20,112,6,97.17307692307692,115.25826241836532,109.08371264595291
