SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-20,22200016,Los Angeles Lakers,1610612747,L,33,94,0.351,9,45,0.2,0.846,24,49,0.4897959183673469,240,22,26,8,30,38,23,13,5,10,24,97,-6,104.48660714285715,92.83486434522537,98.57722708822901
2023,2022-10-23,22200037,Los Angeles Lakers,1610612747,L,41,92,0.446,6,33,0.18181818181818182,0.8,35,59,0.5932203389830508,240,16,20,10,30,40,26,9,9,13,24,104,-2,100.22965590887517,103.76170511305823,105.75712251907858
2023,2022-10-30,22200095,Los Angeles Lakers,1610612747,W,46,96,0.479,13,30,0.43333333333333335,0.8,33,66,0.5,240,16,20,13,38,51,24,5,5,9,17,121,11,97.8547181372549,123.65269892278532,112.41154447525939
2023,2022-11-02,22200117,Los Angeles Lakers,1610612747,W,45,98,0.459,10,36,0.2777777777777778,0.87,35,62,0.5645161290322581,265,20,23,11,45,56,30,6,8,18,17,120,3,112.90430497198881,106.28469838220218,103.62758092264713
2023,2022-11-04,22200131,Los Angeles Lakers,1610612747,L,40,83,0.482,11,26,0.4230769230769231,0.893,29,57,0.5087719298245614,240,25,28,9,31,40,22,6,6,11,17,116,-14,96.27307453416148,120.4905946561815,135.03256297675512
2023,2022-11-06,22200140,Los Angeles Lakers,1610612747,L,40,87,0.46,8,27,0.2962962962962963,0.571,32,60,0.5333333333333333,240,12,21,10,33,43,24,4,4,17,26,100,-14,101.88015306122449,98.15454433004766,111.89618053625435
2023,2022-11-11,22200183,Los Angeles Lakers,1610612747,L,42,88,0.477,10,25,0.4,0.769,32,63,0.5079365079365079,240,20,26,14,27,41,22,11,5,14,22,114,-6,97.49657248157249,116.92718738553273,123.08124987950815
2023,2022-11-13,22200198,Los Angeles Lakers,1610612747,W,44,91,0.484,11,27,0.4074074074074074,0.85,33,64,0.515625,240,17,20,12,33,45,25,3,2,9,22,116,13,95.40149593495934,121.59138477145457,107.9647640643088
2023,2022-11-18,22200234,Los Angeles Lakers,1610612747,W,43,78,0.551,7,20,0.35,0.875,36,58,0.6206896551724138,240,35,40,7,37,44,29,2,7,16,24,128,7,103.46719336670839,123.71071045325685,116.94528097534437
2023,2022-11-20,22200247,Los Angeles Lakers,1610612747,W,45,85,0.529,12,34,0.35294117647058826,0.875,33,51,0.6470588235294118,240,21,24,5,49,54,29,5,2,15,10,123,31,104.1484229390681,118.10068412842026,88.33547105540377
2023,2022-11-28,22200308,Los Angeles Lakers,1610612747,L,40,93,0.43,11,31,0.3548387096774194,0.774,29,62,0.46774193548387094,240,24,31,18,39,57,23,3,7,14,16,115,-1,103.31547593582889,111.30955837770964,112.27746758099406
2023,2022-11-30,22200324,Los Angeles Lakers,1610612747,W,48,97,0.495,14,37,0.3783783783783784,0.692,34,60,0.5666666666666667,240,18,26,13,35,48,28,5,6,8,18,128,19,98.93481729879741,129.37811328182022,110.17354959155003
2023,2022-12-13,22200413,Los Angeles Lakers,1610612747,L,44,93,0.473,8,29,0.27586206896551724,0.733,36,64,0.5625,265,22,30,7,42,49,23,7,9,12,17,118,-4,109.28774747474748,107.9718474637476,111.63191008963733
2023,2022-12-16,22200437,Los Angeles Lakers,1610612747,W,48,91,0.527,12,33,0.36363636363636365,0.75,36,58,0.6206896551724138,240,18,24,11,34,45,29,11,4,15,21,126,18,102.52490357345434,122.8969700124876,105.34026001070364
