SEASON.x,GAME_DATE_EST.x,Game_ID,TEAM,TEAM_ID,Wins,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTT_PCT,FG2M,FG2A,FG2_PCT,MIN,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Spread,Possesions,OER,DER
2023,2022-10-20,22200015,Philadelphia 76ers,1610612755,L,36,83,0.434,5,24,0.20833333333333334,0.846,31,59,0.5254237288135594,240,11,13,6,38,44,17,6,5,10,14,88,-2,93.52888888888889,94.08857631628969,96.22695305075081
2023,2022-10-22,22200028,Philadelphia 76ers,1610612755,L,37,84,0.44,10,31,0.3225806451612903,0.75,27,53,0.5094339622641509,240,21,28,12,28,40,26,6,5,12,15,105,-9,93.69979069767442,112.06001552211156,121.66515970972114
2023,2022-10-24,22200044,Philadelphia 76ers,1610612755,W,38,80,0.475,19,43,0.4418604651162791,0.893,19,37,0.5135135135135135,240,25,28,7,32,39,25,8,7,8,20,120,14,93.30079347826087,128.61626951539276,113.61103807193027
2023,2022-11-02,22200108,Philadelphia 76ers,1610612755,L,39,84,0.464,19,36,0.5277777777777778,0.7,20,48,0.4166666666666667,240,14,20,6,26,32,25,3,1,8,25,111,-10,92.21571428571428,120.36994004740438,131.2140787904138
2023,2022-11-04,22200122,Philadelphia 76ers,1610612755,L,37,98,0.378,13,47,0.2765957446808511,0.81,24,51,0.47058823529411764,240,17,21,13,31,44,27,12,8,15,25,104,-2,103.48421306948919,100.49842088489814,102.43108282499232
2023,2022-11-07,22200148,Philadelphia 76ers,1610612755,W,31,80,0.388,12,32,0.375,0.839,19,48,0.3958333333333333,240,26,31,15,33,48,22,5,6,16,17,100,12,90.67701505016723,110.28153049003082,97.04774683122712
2023,2022-11-12,22200188,Philadelphia 76ers,1610612755,W,44,80,0.55,8,24,0.3333333333333333,0.806,36,56,0.6428571428571429,240,25,31,2,29,31,24,10,5,12,26,121,12,102.76004434589801,117.75004649930369,106.07235593738929
2023,2022-11-13,22200195,Philadelphia 76ers,1610612755,W,40,83,0.482,4,23,0.17391304347826086,0.808,36,60,0.6,240,21,26,8,31,39,21,12,14,12,19,105,7,97.49675510204082,107.69589191979388,100.51616579180762
2023,2022-11-18,22200226,Philadelphia 76ers,1610612755,W,40,78,0.513,13,28,0.4642857142857143,0.654,27,50,0.54,240,17,26,6,35,41,28,5,5,18,18,110,8,100.97329069767443,108.93970003349953,101.01681275833592
2023,2022-11-19,22200237,Philadelphia 76ers,1610612755,L,34,71,0.479,14,32,0.4375,0.844,20,39,0.5128205128205128,240,27,32,4,35,39,21,10,1,22,24,109,-3,103.69067382230173,105.12035073356456,108.01357139595625
2023,2022-11-22,22200256,Philadelphia 76ers,1610612755,W,43,99,0.434,16,32,0.5,0.813,27,67,0.40298507462686567,240,13,16,20,29,49,19,9,4,10,12,115,9,93.71643493761141,122.71060041555934,113.10716212216776
2023,2022-11-28,22200299,Philadelphia 76ers,1610612755,W,39,86,0.453,10,28,0.35714285714285715,0.889,29,58,0.5,240,16,18,10,27,37,23,10,3,12,19,104,3,93.76065584415585,110.92072582434093,107.72108950248493
2023,2022-12-09,22200382,Philadelphia 76ers,1610612755,W,48,90,0.533,18,40,0.45,0.864,30,50,0.6,265,19,22,7,35,42,30,14,2,23,30,133,11,113.22558558558558,117.46461659892873,107.74949793285191
2023,2022-12-11,22200399,Philadelphia 76ers,1610612755,W,46,83,0.554,13,27,0.48148148148148145,0.813,33,56,0.5892857142857143,240,26,32,9,32,41,31,6,6,16,24,131,18,102.44096563011456,127.87852905741251,110.3074334617375
2023,2022-12-13,22200409,Philadelphia 76ers,1610612755,W,43,84,0.512,16,35,0.45714285714285713,0.778,27,49,0.5510204081632653,240,21,27,4,38,42,34,10,4,12,21,123,20,102.28613876319758,120.25089761649623,100.69790613413913
2023,2022-12-16,22200432,Philadelphia 76ers,1610612755,W,39,85,0.459,15,38,0.39473684210526316,0.806,24,47,0.5106382978723404,240,25,31,11,38,49,23,11,5,15,13,118,12,100.91450980392158,116.9306576718014,105.03940434924533
2023,2022-12-19,22200453,Philadelphia 76ers,1610612755,W,32,80,0.4,15,42,0.35714285714285715,0.926,17,38,0.4473684210526316,265,25,27,4,37,41,22,8,1,16,21,104,3,101.77896376811594,102.18221541039097,99.23465150432199
2023,2022-12-21,22200467,Philadelphia 76ers,1610612755,W,41,93,0.441,11,37,0.2972972972972973,0.909,30,56,0.5357142857142857,240,20,22,13,36,49,27,8,7,12,23,113,20,100.65520390070921,112.26443901645486,92.39462680115312
2023,2022-12-23,22200480,Philadelphia 76ers,1610612755,W,47,88,0.534,12,29,0.41379310344827586,0.929,35,59,0.5932203389830508,240,13,14,6,33,39,31,7,3,9,20,119,5,94.61951048951049,125.76687343271801,120.48255101957861
2023,2023-01-02,22200554,Philadelphia 76ers,1610612755,W,41,86,0.477,15,35,0.42857142857142855,0.821,26,51,0.5098039215686274,240,23,28,7,28,35,26,9,6,10,22,120,9,98.52325514874141,121.79865537210983,112.66375621920159
2023,2023-01-04,22200567,Philadelphia 76ers,1610612755,W,48,98,0.49,14,36,0.3888888888888889,0.864,34,62,0.5483870967741935,265,19,22,14,32,46,24,4,7,11,19,129,3,102.23091787439614,126.18491810715533,123.25038512791917
2023,2023-01-06,22200581,Philadelphia 76ers,1610612755,L,40,92,0.435,18,41,0.43902439024390244,0.778,22,51,0.43137254901960786,240,14,18,12,26,38,28,6,3,7,15,112,-14,93.15517406962786,120.22949999136576,135.25818749028647
2023,2023-01-10,22200612,Philadelphia 76ers,1610612755,W,54,89,0.607,11,31,0.3548387096774194,0.933,43,58,0.7413793103448276,240,28,30,10,45,55,36,7,8,19,29,147,31,109.75357007575758,133.93641764776584,105.69132276966555
2023,2023-01-12,22200626,Philadelphia 76ers,1610612755,L,39,88,0.443,11,36,0.3055555555555556,0.926,28,52,0.5384615384615384,240,25,27,9,30,39,30,4,3,17,29,114,-19,104.30313953488371,109.29680593351002,127.51294025576168
2023,2023-01-25,22200721,Philadelphia 76ers,1610612755,W,42,82,0.512,18,38,0.47368421052631576,0.972,24,44,0.5454545454545454,240,35,36,11,25,36,26,10,4,11,19,137,4,95.76530465949821,143.0580735759316,138.88119551532046
2023,2023-01-28,22200741,Philadelphia 76ers,1610612755,W,46,89,0.517,18,35,0.5142857142857142,0.667,28,54,0.5185185185185185,240,16,24,12,27,39,31,10,2,11,15,126,7,96.12805194805193,131.07516218896333,123.79320873402094
2023,2023-01-30,22200756,Philadelphia 76ers,1610612755,L,40,85,0.471,11,30,0.36666666666666664,0.783,29,55,0.5272727272727272,240,18,23,8,37,45,28,8,3,19,25,109,-10,103.82429561717352,104.98506091667659,114.61671788150932
2023,2023-02-01,22200770,Philadelphia 76ers,1610612755,W,34,78,0.436,14,35,0.4,0.885,20,43,0.46511627906976744,240,23,26,7,36,43,27,7,4,19,24,105,11,99.2584756097561,105.78441725502337,94.70224020925902
2023,2023-02-10,22200837,Philadelphia 76ers,1610612755,W,44,84,0.524,14,38,0.3684210526315789,0.773,30,46,0.6521739130434783,240,17,22,6,34,40,27,8,2,8,15,119,11,94.48972972972973,125.93961305676007,114.29813621958056
2023,2023-02-13,22200860,Philadelphia 76ers,1610612755,W,46,82,0.561,15,34,0.4411764705882353,0.941,31,48,0.6458333333333334,240,16,17,7,31,38,26,11,7,16,24,123,19,97.237423273657285,126.49450783351033,106.95470581044775
2023,2023-02-15,22200875,Philadelphia 76ers,1610612755,W,39,78,0.5,13,27,0.48148148148148145,0.931,26,51,0.5098039215686274,240,27,29,8,30,38,24,7,4,12,22,118,6,90.25806818181817,130.73623486190482,124.08862969943509
2023,2023-02-23,22200889,Philadelphia 76ers,1610612755,W,34,84,0.405,13,36,0.3611111111111111,0.806,21,48,0.4375,240,29,36,7,36,43,25,3,10,12,26,110,5,99.5225937351685,110.52766600186494,105.50368118359835
2023,2023-02-25,22200908,Philadelphia 76ers,1610612755,L,35,78,0.449,9,27,0.3333333333333333,0.8,26,51,0.5098039215686274,240,28,35,8,34,42,19,8,3,10,13,107,-3,93.805,114.06641437023612,117.26453813762592
2023,2023-02-27,22200920,Philadelphia 76ers,1610612755,L,32,73,0.438,10,27,0.37037037037037035,0.893,22,46,0.4782608695652174,240,25,28,9,30,39,20,7,3,20,24,99,-2,90.66224789915967,109.19649831549964,111.40248818045923
2023,2023-03-10,22200998,Philadelphia 76ers,1610612755,W,43,83,0.518,11,30,0.36666666666666664,0.793,32,53,0.6037735849056604,240,23,29,12,30,42,25,7,4,10,24,120,1,93.92362126245847,127.76338730027686,126.6986924061079
2023,2023-03-12,22201016,Philadelphia 76ers,1610612755,W,41,80,0.513,11,29,0.3793103448275862,0.826,30,51,0.5882352941176471,240,19,23,9,33,42,29,6,10,9,19,112,19,91.6429048582996,122.21349833156971,101.4808512931784
2023,2023-03-20,22201072,Philadelphia 76ers,1610612755,L,38,90,0.422,10,36,0.2777777777777778,0.864,28,54,0.5185185185185185,290,19,22,9,45,54,28,8,8,21,25,105,-4,110.47072514112027,95.04780553025996,98.66867431236511
