Game_ID,TEAM_ID_away,TEAM_ID_home,HOME_TEAM_WINS,FGM_home,FGA_home,FG_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,FTT_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,MIN_home,FTM_home,FTA_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,AWAY_TEAM_WINS,FGM_away,FGA_away,FG_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,FTT_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,MIN_away,FTM_away,FTA_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,OREB,Total,Spread,AVG_HEIGHT_home,AVG_WEIGHT_home,STARTERS_PM_home,AVG_HEIGHT_away,AVG_WEIGHT_away,STARTERS_PM_away,BULLY_BALL_home,BULLY_BALL_away
21401226,1610612765,1610612752,0,33,77,0.429,7,19,0.368421053,0.63,26,58,0.448275862,240,17,27,12,28,19,6,3,21,18,90,1,41,81,0.506,10,26,0.384615385,0.741,31,55,0.563636364,240,20,27,11,33,20,14,3,13,22,112,23,202,-22,78.7,216.3,-40,78.72727272727273,224.54545454545453,64,0.0909994152736228,0.14007109798511927
21300295,1610612751,1610612749,0,30,73,0.411,7,20,0.35,0.682,23,53,0.433962264,240,15,22,8,28,20,3,3,12,19,82,1,34,74,0.459,5,18,0.277777778,0.739,29,56,0.517857143,240,17,23,11,30,16,6,6,8,21,90,19,172,-8,79.4,220.6,-33,80.33333333333333,234,30,0.1225851077550226,0.2123111688954928
21400831,1610612749,1610612741,1,27,76,0.355,8,26,0.307692308,0.781,19,50,0.38,240,25,32,18,44,20,4,7,19,16,87,0,30,89,0.337,4,18,0.222222222,0.538,26,71,0.366197183,240,7,13,12,29,16,9,4,10,21,71,30,158,16,79.16666666666667,223.5,54,79.72727272727273,230.54545454545453,-42,0.10456767957088878,0.1460133350745294
21300706,1610612766,1610612756,1,39,80,0.488,7,21,0.333333333,0.87,32,59,0.542372881,240,20,23,9,42,13,5,4,13,22,105,0,33,79,0.418,8,23,0.347826087,0.724,25,56,0.446428571,240,21,29,5,29,19,7,5,8,18,95,14,200,10,79.41666666666667,223.75,81,78.9,228.7,-86,0.1388537721181259,0.1637123111688955
21400324,1610612745,1610612744,1,40,81,0.494,8,23,0.347826087,0.85,32,58,0.551724138,240,17,20,6,37,21,9,5,15,16,105,0,37,90,0.411,9,35,0.257142857,0.667,28,55,0.509090909,240,10,15,12,32,15,9,2,15,17,93,18,198,12,78.55555555555556,220.11111111111111,46,78.11111111111111,214.22222222222223,-38,0.08442237192856107,0.06233037371457237
21200586,1610612766,1610612753,0,37,79,0.468,11,31,0.35483871,0.714,26,48,0.541666667,240,15,21,10,26,20,3,3,15,28,100,1,37,79,0.468,4,12,0.333333333,0.737,33,67,0.492537313,240,28,38,11,32,16,5,4,11,24,106,21,206,-6,78.6,230.1,-14,77.75,220.375,15,0.15913075953503555,0.1050073939501816
21200759,1610612760,1610612756,0,30,91,0.33,4,14,0.285714286,1,26,77,0.337662338,240,5,5,17,36,18,6,8,23,22,69,1,34,76,0.447,9,17,0.529411765,0.741,25,59,0.423728814,240,20,27,5,35,23,15,9,14,7,97,22,166,-28,78.84615384615384,225.6153846153846,-96,80.08333333333333,231.66666666666663,124,0.140098803218564,0.19648746342615508
21200674,1610612761,1610612737,1,36,75,0.48,10,26,0.384615385,0.611,26,49,0.530612245,240,11,18,3,33,26,10,8,17,18,93,0,33,85,0.388,9,22,0.409090909,0.739,24,63,0.380952381,240,17,23,15,37,16,6,5,17,18,92,18,185,1,77.44444444444444,214.44444444444449,20,77.88888888888889,219.22222222222223,-25,0.05024232656221806,0.07969242538249317
21400500,1610612763,1610612743,1,41,79,0.519,7,15,0.466666667,0.806,34,64,0.53125,240,25,31,8,40,21,6,8,13,14,114,0,37,86,0.43,2,14,0.142857143,0.692,35,72,0.486111111,240,9,13,8,29,20,6,8,13,20,85,16,199,29,78.16666666666667,225.16666666666663,78,79.08333333333333,222.5,-47,0.09990533293791992,0.10615742099322784
21400791,1610612764,1610612761,1,31,76,0.408,11,26,0.423076923,0.846,20,50,0.4,240,22,26,9,28,17,9,5,13,13,95,0,39,85,0.459,5,21,0.238095238,0.625,34,64,0.53125,240,10,16,15,35,25,7,6,16,15,93,24,188,2,78.22222222222223,221.55555555555551,3,79.6,227.1,5,0.11072375516185216,0.16582311788013868
21400664,1610612765,1610612761,1,43,81,0.531,5,15,0.333333333,0.793,38,66,0.575757576,240,23,29,6,31,23,9,5,8,21,114,0,41,90,0.456,12,34,0.352941176,0.696,29,56,0.517857143,240,16,23,14,30,24,5,2,14,21,110,20,224,4,78.2,223.4,23,78.66666666666667,226.66666666666663,-36,0.11965232913369514,0.1499550565920057
21400189,1610612758,1610612750,0,37,90,0.411,6,17,0.352941176,0.778,31,73,0.424657534,240,21,27,15,22,23,10,7,10,24,101,1,40,81,0.494,8,26,0.307692308,0.833,32,55,0.581818182,240,25,30,14,36,24,4,2,19,19,113,29,214,-12,78.88888888888889,212.77777777777777,-55,78.7,223.5,80,0.07580949788699343,0.13436996966319964
21400041,1610612766,1610612752,1,39,78,0.5,8,16,0.5,0.588,31,62,0.5,240,10,17,8,27,23,5,0,14,26,96,0,33,70,0.471,6,15,0.4,0.724,27,55,0.490909091,240,21,29,8,30,20,7,2,13,16,93,16,189,3,78.9090909090909,224.36363636363637,30,77.7,224.1,-36,0.13467837031418092,0.1229627135958395
21200852,1610612761,1610612739,1,34,82,0.415,5,13,0.384615385,0.938,29,69,0.420289855,240,30,32,13,27,26,7,5,11,19,103,0,35,78,0.449,2,20,0.1,0.8,33,58,0.568965517,240,20,25,9,29,25,3,8,15,25,92,22,195,11,79.11111111111111,227.55555555555551,6,78.36363636363636,223.36363636363637,30,0.1537672124376602,0.1288325218277603
21200407,1610612760,1610612748,1,38,80,0.475,8,28,0.285714286,1,30,52,0.576923077,240,19,19,9,25,20,6,5,14,26,103,0,30,71,0.423,5,16,0.3125,0.842,25,55,0.454545455,240,32,38,11,28,14,8,1,17,25,97,20,200,6,78.5,219.3,31,79.375,227.75,-27,0.1033201618244096,0.16585512178574377
21301046,1610612753,1610612747,1,37,80,0.463,6,16,0.375,0.793,31,64,0.484375,240,23,29,7,27,20,9,4,14,16,103,0,37,82,0.451,6,19,0.315789474,0.824,31,63,0.492063492,240,14,17,13,33,26,5,3,20,24,94,20,197,9,79.88888888888889,224.44444444444449,54,78.27272727272727,223.1818181818182,-43,0.11641418309185272,0.09970748465570951
