id,df
1610612737,AtlantaHawks23
1610612738,BostonCeltics23
1610612751,BrooklynNets23
1610612766,CharlotteHornets23
1610612741,ChicagoBulls23
1610612739,ClevelandCavaliers23
1610612742,DallasMavericks23
1610612743,DenverNuggets23
1610612765,DetroitPistons23
1610612744,GSWarriors23
1610612745,HoustonRockets23
1610612754,IndianaPacers23
1610612746,LAClippers23
1610612747,LALakers23
1610612763,MemphisGrizzlies23
1610612748,MiamiHeat23
1610612749,MilwaukeeBucks23
1610612750,MinnesotaTimberwolves23
1610612740,NOLAPelicans23
1610612752,NYKnicks23
1610612760,OKCThunder23
1610612753,OrlandoMagic23
1610612755,Philadelphia76ers23
1610612756,PhoenixSuns23
1610612757,PortlandTrailBlazer23
1610612758,SacramentoKings23
1610612759,SanAntonioSpurs23
1610612761,TorontoRaptors23
1610612762,UtahJazz23
1610612764,WashingtonWizards23
